place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJdc-EXIR1AhMRfunMH3KWB8o,JAZ Tour KHALEF,"Complexe raffine avec chambres et suites claires, spa, piscines d'eau salee et vue sur mer.",False,6106,https://www.jazhotels.com/hoteldetail/48-tunisia-tunisia-jaz-tour-khalef,JAZ Tour KHALEF (proprietaire),https://www.google.com/maps/contrib/117198368217060196270,https://lh5.googleusercontent.com/p/AF1QipODLb067KC1dTP_zHwcU8dc_vgjDdNUXh6IZSem=w408-h272-k-no,Hotel,"Hotel, Spa",4.7,,,73 241 844,"JAZ Tour KHALEF, Bd du 14 Janvier, Sousse 4051","animation, thalasso, animateurs, l'equipe, jazz, remerciement, disco, mahdi, fatiha",https://www.google.com/maps/place/JAZ+Tour+KHALEF/data=!4m10!3m9!1s0x130275845c84cf75:0xca0796721fcce97e!5m2!4m1!1i2!8m2!3d35.8488573!4d10.6198143!16s%2Fg%2F1hhxpwzxg!19sChIJdc-EXIR1AhMRfunMH3KWB8o?authuser=0&hl=fr&rclk=1
ChIJUzgPUYR1AhMRydfR9quFIUo,Movenpick Sousse,"Chambres et suites elegantes dans complexe chic en bord de plage avec spa de luxe, piscines et 5 restaurants.",False,3906,https://movenpick.accor.com/en/africa/tunisia/sousse/hotel-sousse.html%3Fmerchantid%3Dseo-maps-TN-B4I8%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26utm_content%3DSousse%26y_source%3D1_MTUzNjI2OTktNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Movenpick Sousse (proprietaire),https://www.google.com/maps/contrib/115364484336977391461,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGFAIPWifQMafhxY1EzMHc5rRSKHIVlGMju4EN4o7BPAbIxJKiJoqF6aUEWC76NwDW7FX57_j0-lVKMmUv-pyA7dxFv8M7o56Xn9gRFgKRAttpZrj2tsSueGgrxc8BsbrmAc4rJzU5VxSMU4Iq8ujl-8tLe20JnYlbavzo1A_Mc58kHeazZ3jqR=w408-h272-k-no,Hotel,Hotel,4.3,,,73 202 000,"Movenpick Sousse, Bd du 14 Janvier, Sousse 4039","restauration, serveurs, massage, thalasso, burkini, villa, animation, qualite, iftar, islamophobie",https://www.google.com/maps/place/M%C3%B6venpick+Sousse/data=!4m10!3m9!1s0x13027584510f3853:0x4a2185abf6d1d7c9!5m2!4m1!1i2!8m2!3d35.8425522!4d10.6272781!16s%2Fg%2F1tjj8jfj!19sChIJUzgPUYR1AhMRydfR9quFIUo?authuser=0&hl=fr&rclk=1
ChIJGymJWQqK_RIRojgs5ucRyDY,Hotel Marhaba Royal Salem,"Logements clairs dans complexe convivial en bord de plage avec restaurant, piscines, club enfants et spa.",False,2205,https://www.royalsalem.tn/,Hotel Marhaba Royal Salem (proprietaire),https://www.google.com/maps/contrib/103136526160093510562,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEqWbUcvfHIa1TE_ACiPeen0RWQ00150t5Jb9d6UBSU1H7L6PKd5xzzDhor27Zdby3V8x7Mh51xhqUusp1KLh8FFUIA6me99xnsXUWZQYI0hM83YOoy__iAkvNfWrY-M_Dj2lXn83Fh5EUElUjsxxZqA1qekYTXS412qow2OXzqiGsPpLPvlCuq=w408-h270-k-no,Hotel,Hotel,4.3,,,73 271 588,"Hotel Marhaba Royal Salem, Marhaba Royal Salem, Boulevard du 14 Janvier, Sousse 4039","animation, divertissement, pourboire, all inclusive, danse, toboggan, zumba, animateurs, flechettes, momos",https://www.google.com/maps/place/Hotel+Marhaba+Royal+Salem/data=!4m10!3m9!1s0x12fd8a0a5989291b:0x36c811e7e62c38a2!5m2!4m1!1i2!8m2!3d35.858572!4d10.6158463!16s%2Fg%2F1vpgzxgr!19sChIJGymJWQqK_RIRojgs5ucRyDY?authuser=0&hl=fr&rclk=1
ChIJy5NJ5Yh1AhMRVS9qKGeOiW0,Hotel Marhaba Beach,"Complexe simple en front de mer avec piscines interieure/exterieures, restaurant buffet et terrains de sport.",False,1667,http://marhababeach.tn/,Hotel Marhaba Beach (proprietaire),https://www.google.com/maps/contrib/101024654895170047676,https://lh5.googleusercontent.com/p/AF1QipOFsnm6okb4g8i56Z7ce5OFHtzLidHCRmbW_6Cf=w408-h306-k-no,Hotel,Hotel,4.2,,,73 240 112,"Hotel Marhaba Beach, Bd du 14 Janvier, Sousse 4039","animation, all inclusive, divertir, jour ferie, pourboires, territoire, massage, hammam, animateurs, maitre nageur",https://www.google.com/maps/place/H%C3%B4tel+Marhaba+Beach/data=!4m10!3m9!1s0x13027588e54993cb:0x6d898e67286a2f55!5m2!4m1!1i2!8m2!3d35.8487989!4d10.6197962!16s%2Fg%2F1tg_090c!19sChIJy5NJ5Yh1AhMRVS9qKGeOiW0?authuser=0&hl=fr&rclk=1
ChIJGymJWQqK_RIR6UVXmST4jQ4,Hotel Marhaba Salem,"Hotel en bord de plage avec piscines en interieur et en exterieur, spa, 4 restaurants et 3 bars.",False,1662,http://www.marhabasalem.tn/,Hotel Marhaba Salem (proprietaire),https://www.google.com/maps/contrib/108481785392645967866,https://lh5.googleusercontent.com/p/AF1QipONhIid2uUzfPnS7E37JGJUhB-hdxHF2rqElTvA=w426-h240-k-no,Hotel,Hotel,4.4,,,73 240 966,"Hotel Marhaba Salem, Boulevard 14 Janvier 4039 Sousse, Hammam Sousse 4039","animation, divertir, danse, animateurs, zumba, momos, disco, flechettes, tir a l'arc, aquagym",https://www.google.com/maps/place/Hotel+Marhaba+Salem/data=!4m10!3m9!1s0x12fd8a0a5989291b:0xe8df824995745e9!5m2!4m1!1i2!8m2!3d35.8594365!4d10.6164423!16s%2Fg%2F1vp5_3hj!19sChIJGymJWQqK_RIR6UVXmST4jQ4?authuser=0&hl=fr&rclk=1
ChIJvypHhYh1AhMRLl_Lk51M3hE,Occidental Sousse Marhaba,"Chambres et suites classiques dans hotel raffine avec 3 restaurants, 8 bars, discotheque et piscines.",False,1442,https://www.barcelo.com/fr-fr/occidental-sousse-marhaba/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmy_business%26utm_content%3D10319,Occidental Sousse Marhaba (proprietaire),https://www.google.com/maps/contrib/100629833311419019805,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHdX1pBD3ceWbznAVpCh5RGc2W-X_L7i5a267-8JNIo7EMADTggGioBSzdTdMNg43Gt2HizOaTNrhsYwnf090DGslZ1WI_7jRofc6oKClyB2auXo-31FiRpnRaBK-e2JAhwaqBD4AAJxSdqzSlZF_L0Dsdd7xaGCnXJwYBoH2GAa9tdLD0TfJinEQ=w408-h254-k-no,Hotel,"Hotel, Piscine",4,,,73 241 667,"Occidental Sousse Marhaba, 2011 Av. 14 Janvier, Sousse 4039","plage, all inclusive, animation, divertissement, serveurs, toboggan, buffet, animateurs, aquagym, flechettes",https://www.google.com/maps/place/Occidental+Sousse+Marhaba/data=!4m10!3m9!1s0x1302758885472abf:0x11de4c9d93cb5f2e!5m2!4m1!1i2!8m2!3d35.846735!4d10.6219208!16s%2Fg%2F1tf8b331!19sChIJvypHhYh1AhMRLl_Lk51M3hE?authuser=0&hl=fr&rclk=1
ChIJOc-SIHV1AhMRNwF78p5qHjI,Sousse Palace Hotel & Spa,"Hotel haut de gamme avec chambres de style decontracte, plage privee, spa et 3 restaurants.",False,972,http://www.shdthotels.com/,Sousse Palace Hotel & Spa (proprietaire),https://www.google.com/maps/contrib/101617338767135943853,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFHdgLUsz_WXuNWB1CzibfAEjoWEj97wbM649SG28gLQOAzmdRzx_teAUGEgLxS2m_a4lwgyEoW42jtSoVfKjftw6hlGv5qnBRJJ19RtfBC5Nr0EeMIig2buhrpDOKvSsG1bb3M-nmG7_2NFNDpJy7x7hj3N1cZdSmszDEYnvUOIz_7ottVZjeB7A=w408-h272-k-no,Hotel,Hotel,4,,,31 323 260,"Sousse Palace Hotel & Spa, Av. Habib Bourguiba, Sousse","chambre, etoiles, mer, buffet, sourire, all inclusive, menage, serveur, animation, hammam",https://www.google.com/maps/place/Sousse+Palace+Hotel+%26+Spa/data=!4m10!3m9!1s0x130275752092cf39:0x321e6a9ef27b0137!5m2!4m1!1i2!8m2!3d35.8310325!4d10.6406611!16s%2Fg%2F1v6gbbss!19sChIJOc-SIHV1AhMRNwF78p5qHjI?authuser=0&hl=fr&rclk=1
ChIJi7lMMnWK_RIRlRJwFPpdV1E,TUI BLUE Sheherazade,"Complexe raffine reserve aux adultes avec plage privee, cinema en plein air et plusieurs restaurants.",False,778,https://www.magichotelsandresorts.com/scheherazade,TUI BLUE Sheherazade (proprietaire),https://www.google.com/maps/contrib/108860612505043844170,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGsZYNiEZLrVM7RtRgb6rMCpoGGrCPvq3-a03MQRuYkLRAwjcICeNJj32J_GIkMTuSYU_FBPzHEUu4Zk1aE-8LK8eUSnVytuUPLO2jdO9YigQc6_6Mwhj9tc_gxz4355Dr_54CqYjaB5mfT-0i0D7VxfChvfw9rOn5y34WpPUUrDUBJ6zfZM02Trg=w408-h272-k-no,Hotel,Hotel,4.6,,,72 271 222,"TUI BLUE Sheherazade, Boulevard du 14 Janvier, Sousse 4039","adultes, employes, animation, all inclusive, divertissement, a la carte, vue sur la mer, calme, plage privee, dentelle",https://www.google.com/maps/place/TUI+BLUE+Sheherazade/data=!4m10!3m9!1s0x12fd8a75324cb98b:0x51575dfa14701295!5m2!4m1!1i2!8m2!3d35.8569808!4d10.6175063!16s%2Fg%2F11g8b4_dwj!19sChIJi7lMMnWK_RIRlRJwFPpdV1E?authuser=0&hl=fr&rclk=1
ChIJaf9FkB6K_RIRDlg6A7ptuFc,Hasdrubal Thalassa & Spa Port El Kantaoui Hotel,"Chambres et suites contemporaines avec balcon dans un hotel chic en bord de mer, spa et 2 piscines.",False,265,http://kantaoui.hasdrubal-thalassa.com/,Hasdrubal Thalassa & Spa Port El Kantaoui Hotel (proprietaire),https://www.google.com/maps/contrib/102558356588847544341,https://lh5.googleusercontent.com/p/AF1QipMebVJtZfuT4qGA5iCnNr4jVoh_jEt5mDJmmC7y=w408-h272-k-no,Hotel,Hotel,4.4,,,73 348 944,"Hasdrubal Thalassa & Spa Port El Kantaoui Hotel, Hasdrubal Thalassa & Spa, Zone Touristique Port El Kantaoui, Port El Kantaoui 4089","piscine, plage, thalasso, chambre, gentillesse, calme, jardin, confortable, sourire, golf",https://www.google.com/maps/place/Hasdrubal+Thalassa+%26+Spa+Port+El+Kantaoui+Hotel/data=!4m10!3m9!1s0x12fd8a1e9045ff69:0x57b86dba033a580e!5m2!4m1!1i2!8m2!3d35.8899447!4d10.5984385!16s%2Fg%2F1tdktx90!19sChIJaf9FkB6K_RIRDlg6A7ptuFc?authuser=0&hl=fr&rclk=1
ChIJrQqJYnJ1AhMR2j8hF2IMEng,Dar Antonia,,False,104,http://www.darantonia.com/,Dar Antonia (proprietaire),https://www.google.com/maps/contrib/102851048781573778289,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEUQLVAHs_tcXddhj7xhi6qfN_3LU6WJ0xPD_v3ibTav3NCuz9MKbCwO7gZcKFdVvHLzXppDKfHOgU7TfpNyyBUcJflfzcDHjj9SyyMD97fiRgsaxXPFvAoAr6fkXekf9ecnVeVFNcXR_N2uDhFAfY7jO6IZ5eHy8mKyQS-a2vmaVYNQkwSDEV0=w408-h272-k-no,Hotel,Hotel,4.2,,,25 502 008,"Dar Antonia, 21 Rue kaabar Medina de Sousse, Sousse 4000","prix, service, medina de sousse, chambres, clients, experience, roof, maison d'hotes, hammam, gastronomique",https://www.google.com/maps/place/Dar+Antonia/data=!4m10!3m9!1s0x1302757262890aad:0x78120c6217213fda!5m2!4m1!1i2!8m2!3d35.823684!4d10.639304!16s%2Fg%2F11ddzry957!19sChIJrQqJYnJ1AhMR2j8hF2IMEng?authuser=0&hl=fr&rclk=1
