place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ0Y8bHgSeAhMRT3hzAqBOCZw,Hotel Bel Azur Thalasso & Bungalows,"Hotel raffine sur la plage avec chambres contemporaines, 2 restaurants, 2 bars et 5 piscines.",False,1785,http://www.hotelbelazur.com/,Hotel Bel Azur Thalasso & Bungalows (proprietaire),https://www.google.com/maps/contrib/100968433581147802239,https://lh5.googleusercontent.com/p/AF1QipPntXqEpnbya2H4qSqn7qr37glxQRrITyuTgPOM=w408-h272-k-no,Hotel,"Hotel, Hebergement, Hotel bien-etre",4,,,72 280 544,"Hotel Bel Azur Thalasso & Bungalows, BP 13 Rue Assad Ibn El Fourat, Hammamet 8050","animation, all inclusive, pourboire, transats, menage, quad, spectacle, thalassotherapie, disco, direct",https://www.google.com/maps/place/H%C3%B4tel+Bel+Azur+Thalasso+%26+Bungalows/data=!4m10!3m9!1s0x13029e041e1b8fd1:0x9c094ea00273784f!5m2!4m1!1i2!8m2!3d36.4010009!4d10.6302867!16s%2Fg%2F1tfljbp_!19sChIJ0Y8bHgSeAhMRT3hzAqBOCZw?authuser=0&hl=fr&rclk=1
ChIJXywdIYBh_RIRuu-LrWoNoSE,Phenicia Hotel,"Complexe balneaire convivial tout compris avec restaurants, 5 bars, piscine exterieure et salle de sport.",False,1654,,Phenicia Hotel (proprietaire),https://www.google.com/maps/contrib/110729011260657743471,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEm7TDbx-ZzVySNuDw1AxvJ6oRGXRDM1QEbszynXMZ38wHJ2zZlFzgQdFlO_DLb91muqhNebGEPqQhDdTFRa7vsvuD8s4AbA52JByML3UUM8jXlNwIznAvJM_B08IHXR8XQ57guL2MmBWrBeYhUNtPwimPbV5OERkF5G-cJwPwH9OeBdIuxoSipuw=w408-h271-k-no,Hotel,Hotel,4.4,,,72 226 533,"Phenicia Hotel, Avenue Moncef Bey, Hammamet 8039","animation, jour ferie, divertissement, pourboires, all inclusive, danse, animateurs, tir a l'arc, centre equestre, ninja",https://www.google.com/maps/place/Phenicia+Hotel/data=!4m10!3m9!1s0x12fd6180211d2c5f:0x21a10d6aad8befba!5m2!4m1!1i2!8m2!3d36.3998363!4d10.5749102!16s%2Fg%2F1tggkw9y!19sChIJXywdIYBh_RIRuu-LrWoNoSE?authuser=0&hl=fr&rclk=1
ChIJIWKy8pJj_RIRw6fpEAUpz-k,Hotel Mehari Hammamet,"Hotel convivial avec 4 restaurants, 7 bars, piscine exterieure, 2 cafes, spa et salle de sport.",False,1568,https://www.goldenyasmin.com/,Hotel Mehari Hammamet (proprietaire),https://www.google.com/maps/contrib/118415286266663159211,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGwEbITJY_sEl_FiSWJFcbHaNqL0wA6SUhkMrCw6r0l07taT524v6fiGOgQRyPthgUjRW5xIZKOo38NaeM-A6eXVB9vrsixVIxaWHya9JhXOlppqdcSXbspLFz6efbYMxhVs5WEGDsv7Pr6LEwYH3s-b46Qw6vVWv7Fk8JgDQE-EBKrKD6pS51MuQ=w426-h240-k-no,Hotel,Hotel,4.1,,,72 241 900,"Hotel Mehari Hammamet, Yasmine Hammamet, Hammamet 8050","etoiles, all inclusive, thalasso, femme de menage, animation, buffet, serveurs, plage privee, quad, animateurs",https://www.google.com/maps/place/Hotel+M%C3%A9hari+Hammamet/data=!4m10!3m9!1s0x12fd6392f2b26221:0xe9cf290510e9a7c3!5m2!4m1!1i2!8m2!3d36.3632716!4d10.5346542!16s%2Fg%2F1vnnflp5!19sChIJIWKy8pJj_RIRw6fpEAUpz-k?authuser=0&hl=fr&rclk=1
ChIJFRHAAhKeAhMR3xY0CY0oJ_8,Alhambra Thalasso Hotel,,False,1412,http://alhambra-thalasso.com/,Alhambra Thalasso Hotel (proprietaire),https://www.google.com/maps/contrib/117882404529167824828,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEp_NiUYseb8kHeh799vUzUUe--s7_101iW5E_848WPBhfuz38lXWNrQReEql09TOqwnykSi9rq2sDefPT9hE3ZhV2KJ-_CHCmQOF_wO0Zw_ZVNaWzD51thfPo7uLSkWaDuDe-JFYFJf_ZWMAOBHI1KeXUa55eMz7Gf05qFSBm6aAbscXWD8d1L2g=w486-h240-k-no,Hotel,Hotel,4.1,,,72 240 590,"Alhambra Thalasso Hotel, Yasmine Hammamet","etoiles, animation, serveurs, all inclusive, massage, maison de retraite, catastrophique, architecture, directeur, piscine couverte",https://www.google.com/maps/place/Alhambra+Thalasso+Hotel/data=!4m10!3m9!1s0x13029e1202c01115:0xff27288d093416df!5m2!4m1!1i2!8m2!3d36.3559897!4d10.5257645!16s%2Fg%2F1tg8fn1c!19sChIJFRHAAhKeAhMR3xY0CY0oJ_8?authuser=0&hl=fr&rclk=1
ChIJdYVQcNVj_RIR2SuHgaiIcaE,Steigenberger Marhaba Thalasso Hammamet,"Hotel de plage haut de gamme avec logements elegants, 5 restaurants, 2 piscines exterieures et spa.",False,1385,https://hrewards.com/steigenberger-marhaba-thalasso-hammamet%3Fwt_mc%3Dseo_listing.shr.yext.marhaba_thalasso.hotel_link.text_cta,Steigenberger Marhaba Thalasso Hammamet (proprietaire),https://www.google.com/maps/contrib/111125222371840372738,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE9x8C4ImelNBjKiChSpRFra3FQE2rza-kAcSQPjkYu8woW7MtHuvvuRTer-MZNrl3bVZQQcfIjqRW3n04Joqmdu1LGfXVVIRAL2oJ4h8VFG5apLfBemoyPx95WZ_NLZlt83Bl6_EtI1I4hkU_a-aH9MvMUSEPTUrnJ2ThTaGjmr51pRWfjZyA0=w413-h240-k-no,Hotel,Hotel,4.2,,,72 226 555,"Steigenberger Marhaba Thalasso Hammamet, La paix, Hammamet Sud 8050","spa, bungalow, etoiles, divertissements, animation, serveurs, all inclusive, palace, plage privee, animateurs",https://www.google.com/maps/place/Steigenberger+Marhaba+Thalasso+Hammamet/data=!4m10!3m9!1s0x12fd63d570508575:0xa17188a881872bd9!5m2!4m1!1i2!8m2!3d36.3999348!4d10.5728605!16s%2Fg%2F1tgkkcy3!19sChIJdYVQcNVj_RIR2SuHgaiIcaE?authuser=0&hl=fr&rclk=1
ChIJx0pnjg2eAhMRacvEVQZNXj8,"Radisson Blu Resort & Thalasso, Hammamet","Complexe haut de gamme en bord de plage avec hebergements elegants, plusieurs restaurants, piscines et spa.",False,1243,https://www.radissonhotels.com/en-us/hotels/radisson-blu-resort-hammamet%3Fcid%3Da:se%2Bb:gmb%2Bc:emea%2Bi:local%2Be:rdb%2Bd:mea%2Bh:TNNBERTH,"Radisson Blu Resort & Thalasso, Hammamet (proprietaire)",https://www.google.com/maps/contrib/113444381433395550134,https://lh5.googleusercontent.com/p/AF1QipOPg4EaTsmupFenNf-FgKtZoYNgoDk0H10I40hi=w426-h240-k-no,Complexe hotelier,Complexe hotelier,4,,,72 101 000,"Radisson Blu Resort & Thalasso, Hammamet, Avenue Hedi Nouira, Hammamet 8050","chambre, etoiles, serveurs, sourire, qualite, vue sur mer, chaussons, buffet, animation, accueillant","https://www.google.com/maps/place/Radisson+Blu+Resort+%26+Thalasso,+Hammamet/data=!4m10!3m9!1s0x13029e0d8e674ac7:0x3f5e4d0655c4cb69!5m2!4m1!1i2!8m2!3d36.402331!4d10.638782!16s%2Fg%2F1tfx_3hf!19sChIJx0pnjg2eAhMRacvEVQZNXj8?authuser=0&hl=fr&rclk=1"
ChIJlToSJWyeAhMReDA8T9oAPrY,Hotel Le Sultan,"Hotel contemporain en bord de plage avec spa, ecole de plongee et plusieurs bars et restaurants.",False,1187,http://www.lesultan.com/,Hotel Le Sultan (proprietaire),https://www.google.com/maps/contrib/105761524411903269235,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHebeSIyct3Ka_cu0O01GpvETI1956lUciYd-79VUuV1qoC9VaiHC4HySQ6g6ATB7jJIbUiLhJEfDL2Yf2WCXVT-TFsO8CfZscz-thN8x1FyC3R-jyYra8UqtrAVeolF6RTItHr0vI0_1_3GGL4FQZcNb5uoMpEsf5n7DjVE8rs9wzIAsMpYTTk=w408-h272-k-no,Hotel,Hotel,4.3,,,72 280 588,"Hotel Le Sultan, Route Touristique, Hammamet 8050","animation, all inclusive, burkini, qualite, animateurs, vue sur mer, plage privee, tir a l'arc, mini-golf, hijab",https://www.google.com/maps/place/H%C3%B4tel+Le+Sultan/data=!4m10!3m9!1s0x13029e6c25123a95:0xb63e00da4f3c3078!5m2!4m1!1i2!8m2!3d36.404972!4d10.6477327!16s%2Fg%2F1tcvl5j6!19sChIJlToSJWyeAhMReDA8T9oAPrY?authuser=0&hl=fr&rclk=1
ChIJNxVoeIRh_RIRUajKhRQcd1U,La Badira - Adult Only,"Chambres et suites raffinees dans hotel haut de gamme en bord de plage avec 5 restaurants, 3 piscines et spa.",False,1156,http://www.labadira.com/,La Badira - Adult Only (proprietaire),https://www.google.com/maps/contrib/101248602338396611971,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHx2AXqdHvtCwADffhdvrjAlsnPOhyPc4AE3zDa6XfET0iPHpiRdgCSaoPZ-ANZaOo-OUkJBfVF0xwRiBO3Lgd-eKLEVUrZwKB6GuLYKutPdXtPPcDWKGc1fClFoUD_1y-HQ-yX6akAmJEYInon-__acBe-0h1Nes90IuxChzV7r_hq-3UEqSc=w413-h240-k-no,Hotel,Hotel,4.5,,,70 018 180,"La Badira - Adult Only, Route Touristique Nord BP437 Hammamet, Mrezga 8050","spa, 5 etoiles, burkini, reve, serveurs, piscine a debordement, l'architecture, plage privee, tunisienne, hammam",https://www.google.com/maps/place/La+Badira+-+Adult+Only/data=!4m10!3m9!1s0x12fd618478681537:0x55771c1485caa851!5m2!4m1!1i2!8m2!3d36.4043159!4d10.649168!16s%2Fg%2F11cm_dx5m6!19sChIJNxVoeIRh_RIRUajKhRQcd1U?authuser=0&hl=fr&rclk=1
ChIJCd6lKodh_RIRUAP5JEkCISc,Les Orangers Garden Villas & Bungalows,"Logements clairs dans complexe balneaire convivial avec 3 bars, discotheque, piscines en interieur/exterieur.",False,854,http://orangersgarden.com/,Les Orangers Garden Villas & Bungalows (proprietaire),https://www.google.com/maps/contrib/112446073340454630565,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHZUhJrDh4p6rlUA5woyDW9kDC361D4U70g-ka-OPqrNUv2FYOwBuUXhHmIlsrHSsutly_66qUS0APNE30M_-jqBlxbWX4CHsYElzksxld-guujs7axasQ9CeFpkOFPpBKTLLerC2eqLTuOhJs5GsM-z_oTmZlKW5zBhV6_-mjcxyHtBqv1g_ze=w408-h291-k-no,Hotel,"Hotel, Chambre d'hotes",4.4,,,72 280 537,"Les Orangers Garden Villas & Bungalows, Rue de Never Hammamet 8050, 8050 Rue Dag Hammarskjold, Hammamet Sud","plage, all inclusive, jardin, massage, a la carte, hammam, reve, animation, grillades, otage",https://www.google.com/maps/place/Les+Orangers+Garden+Villas+%26+Bungalows/data=!4m10!3m9!1s0x12fd61872aa5de09:0x2721024924f90350!5m2!4m1!1i2!8m2!3d36.4003641!4d10.5794508!16s%2Fg%2F1vp17468!19sChIJCd6lKodh_RIRUAP5JEkCISc?authuser=0&hl=fr&rclk=1
ChIJkRtjuZIz_RIRyUCg6hXcvJo,The Orangers Beach Resort and Bungalows,"Complexe a l'atmosphere decontractee avec acces direct a la plage, spa, restaurants et piscines interieure/exterieure.",False,762,https://orangershotel.com/,The Orangers Beach Resort and Bungalows (proprietaire),https://www.google.com/maps/contrib/115181879423306875169,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGJ2Lj8D6ajgNSArChtZ0Ab_H8mHMxu2AXcLSlVthPskbzaY1ObLDTHhXPg54JgNVoaXysEkjaDOETJY41X2XDCtyEjdtq6p7annOJ79_Eintrj026tvANt0QFYS5P39egIl3M93XT2dx-XfzJnh82dZZaiZiRy-Sz4ocBxQl_nFqpdaaTB1lzd=w408-h272-k-no,Hotel,Hotel,4.4,,,72 281 641,"The Orangers Beach Resort and Bungalows, BP7 rue de Nevers, Hammamet 8050","all inclusive, massage, serveurs, animation, directeur, animateurs, piscine couverte, hammam, present, tir a l'arc",https://www.google.com/maps/place/The+Orangers+Beach+Resort+and+Bungalows/data=!4m10!3m9!1s0x12fd3392b9631b91:0x9abcdc15eaa040c9!5m2!4m1!1i2!8m2!3d36.3993927!4d10.5774359!16s%2Fg%2F11gxwnnt9_!19sChIJkRtjuZIz_RIRyUCg6hXcvJo?authuser=0&hl=fr&rclk=1
