place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJHcqBcNMsABMRStyZI95ezEA,ibis Sfax,"Chambres conviviales dans hotel de style decontracte avec bar, cuisine internationale et piscine exterieure.",False,820,https://all.accor.com/lien_externe.svlt%3Fgoto%3Dfiche_hotel%26code_hotel%3DA094%26merchantid%3Dseo-maps-TN-A094%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26y_source%3D1_MTUzNjAzMjktNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,ibis Sfax (proprietaire),https://www.google.com/maps/contrib/106183447080292298503,https://lh5.googleusercontent.com/p/AF1QipOky9uCDEkFBRV8KYdZQr5uwo8D7h8qcFEVdeQo=w408-h272-k-no,Hotel,Hotel,4.6,,,70 241 000,"ibis Sfax, Avenue Majida Boulila, Sfax 3000","chambre, buffet, piscine, souriant, professionnel, bar, sous-sol, hygiene, qualite de service, luxueux",https://www.google.com/maps/place/ibis+Sfax/data=!4m10!3m9!1s0x13002cd37081ca1d:0x40cc5ede2399dc4a!5m2!4m1!1i2!8m2!3d34.7362768!4d10.7484746!16s%2Fg%2F11f3xzvl6_!19sChIJHcqBcNMsABMRStyZI95ezEA?authuser=0&hl=fr&rclk=1
ChIJscxTCC4tABMR8KVTAqWBmlE,Hotel Les Oliviers Palace,Logements raffines dans un hotel majestueux avec spa et restaurant elegant accueillant des concerts.,False,443,https://www.goldenyasmin.com/,Hotel Les Oliviers Palace (proprietaire),https://www.google.com/maps/contrib/110409984061226850021,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGpTkIZsBoQ7VwJ6npnXkkbk9jy5CCGHg5EiybWUpFgTuBzXAHkFhkHdMD__LOTXc0MfG3OAQt9WCgiWRnEEBQSHSEf3mRtwQCU-wGKb5yQwIJZA5-iBm587340IBNAuhApW_p5P-Ck4qnda_1YKt7JVJfdZBVxRQGZGcK0riG5asDlvqWxPjPy3Q=w408-h276-k-no,Hotel,Hotel,4.2,,,74 201 999,"Hotel Les Oliviers Palace, 25 Av. Hedi Chaker, Sfax 3000","service, chambres, prix, port, bravo, mer, renove, luxueux, pizza, anis",https://www.google.com/maps/place/Hotel+Les+Oliviers+Palace/data=!4m10!3m9!1s0x13002d2e0853ccb1:0x519a81a50253a5f0!5m2!4m1!1i2!8m2!3d34.7309195!4d10.7655462!16s%2Fg%2F1tfj585v!19sChIJscxTCC4tABMR8KVTAqWBmlE?authuser=0&hl=fr&rclk=1
ChIJpw6pqCktABMRV5KLW6xX2iE,Radisson Hotel Sfax,"Logements elegants avec Wi-Fi gratuit dans hotel haut de gamme comprenant restaurant, spa et piscine sur toit.",False,403,https://www.radissonhotels.com/en-us/hotels/radisson-sfax%3Fcid%3Da:se%2Bb:gmb%2Bc:emea%2Bi:local%2Be:rad%2Bd:mea%2Bh:TNSFA1,Radisson Hotel Sfax (proprietaire),https://www.google.com/maps/contrib/117869375901322830749,https://lh5.googleusercontent.com/p/AF1QipNIawxhP5uz2ZRiUDKmJoMN5GywPnMvJ6TabDEK=w408-h612-k-no,Hotel,Hotel,4.1,,,31 231 000,"Radisson Hotel Sfax, Street Sfax, Rue de Ribat, Sfax 3000","service, experience, piscine, spa, buffet, conference, organisation, receptionniste, bar, etage",https://www.google.com/maps/place/Radisson+Hotel+Sfax/data=!4m10!3m9!1s0x13002d29a8a90ea7:0x21da57ac5b8b9257!5m2!4m1!1i2!8m2!3d34.730238!4d10.7577817!16s%2Fg%2F11fl44fvc6!19sChIJpw6pqCktABMRV5KLW6xX2iE?authuser=0&hl=fr&rclk=1
ChIJ6b0t6tTSARMR6vR32JDIn9A,Hotel Borj Dhiafa,"Chambres et suites raffinees dans hotel haut de gamme avec un spa, une piscine interieure et 2 restaurants.",False,250,http://www.hotelborjdhiafa.com/,Hotel Borj Dhiafa (proprietaire),https://www.google.com/maps/contrib/100527192546498964079,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGwbmg1VxWYg8fVF8gzDaR0KcFtAnk4nJxl9GGokzmSyuzRK0xkjjPpFdVA76RCIkD4KZlbupeJ-eAVSIPn3sMLYt4nxQDqcPSBLOA99noOuuTBNypyPSXsQsED5KEC7Sal3y6QyzUbCTpRpB7HK3kDu4n7vRExigcDul11SdOSY6cz0HsVgXK2=w408-h271-k-no,Hotel,Hotel,4.3,,,74 677 777,"Hotel Borj Dhiafa, Rte Soukra, Sfax 3052","service, chambres, cuisine, architecture, clients, climatisation, suite, piscine, experience, douches",https://www.google.com/maps/place/H%C3%B4tel+Borj+Dhiafa/data=!4m10!3m9!1s0x1301d2d4ea2dbde9:0xd09fc890d877f4ea!5m2!4m1!1i2!8m2!3d34.7250832!4d10.7239298!16s%2Fg%2F1tl5cfrp!19sChIJ6b0t6tTSARMR6vR32JDIn9A?authuser=0&hl=fr&rclk=1
ChIJdQ0TECstABMReKmSMvj_Ims,Dar Baya Hotel Restaurant Cafe,,False,58,https://www.dar-baya.com/,Dar Baya Hotel Restaurant Cafe (proprietaire),https://www.google.com/maps/contrib/109813191799142503799,https://lh5.googleusercontent.com/p/AF1QipMGWgKDHjq4tPpnj4s9NkURbv_aQmzXMriQomdp=w408-h306-k-no,Hotel,"Hotel, Cafe, Love hotel, Restaurant",4.2,,,74 200 814,"Dar Baya Hotel Restaurant Cafe, 110 Rue Cheikh Tijani, Sfax",l'histoire,https://www.google.com/maps/place/Dar+Baya+Hotel+Restaurant+Caf%C3%A9/data=!4m10!3m9!1s0x13002d2b10130d75:0x6b22fff83292a978!5m2!4m1!1i2!8m2!3d34.7363284!4d10.7587136!16s%2Fg%2F11c2y8_cx9!19sChIJdQ0TECstABMReKmSMvj_Ims?authuser=0&hl=fr&rclk=1
ChIJj5bbtSktABMRmM6-T3YenE8,Hotel Dar El Hana,Hebergements au mobilier chaleureux dans hotel de style decontracte comprenant salle a manger et terrasse avec vue sur la ville.,False,54,http://www.hotel-darelhana.com/,Hotel Dar El Hana (proprietaire),https://www.google.com/maps/contrib/105405667287434193782,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHGc9PyJjMi4v9eWJ2grS7tLGWduHGMvljcIjBzkx45U9C898DbY5ZFx_ikAgAbUxze5lBaRe7BmnZ5UENXPDEjjHMQUMqxHkh79fD5PpJg1LRbiNaPqEewwXPCgZ-f-6rLNmcGtCH3hr72RQRQBF90HcUn3hboB0S489EOWoax3Q6ZUxITNTSY=w408-h612-k-no,Hotel,Hotel,4.1,,,74 222 444,"Hotel Dar El Hana, Rue sakiet sidi youssef, Sfax","service, bar",https://www.google.com/maps/place/H%C3%B4tel+Dar+El+Hana/data=!4m10!3m9!1s0x13002d29b5db968f:0x4f9c1e764fbece98!5m2!4m1!1i2!8m2!3d34.7299234!4d10.7564222!16s%2Fg%2F11fz72m08d!19sChIJj5bbtSktABMRmM6-T3YenE8?authuser=0&hl=fr&rclk=1
ChIJ60Hliy4tABMRvk2076M6rzM,Hotel El layali,Hebergements meubles simplement dans hotel simple avec petit-dejeuner gratuit.,False,37,http://www.hotelellayeli.com.tn/,Hotel El layali (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEvbaWcqqIT17u5kGLWjS_OXO-wYn5bFJtyafXIiIfs80Rh4l0sq4fVwuZ6O13PmYWIWnBCPW5Gh_-jJ4wJGnx3gsItjVgxXIxP0Gxjc9W2wsL7UVCie0uI91wJ8hlWL8xoxikfTvhzDasvnWVkpOSYqDedmNJOLBKhVR0fJ87RJk-jyXGX51AM=w408-h270-k-no,Hotel,Hotel,4,,,74 228 998,"PQJ7+66G Hotel El layali, Rue Ali Bach Hamba, Sfax 3000",prix,https://www.google.com/maps/place/H%C3%B4tel+El+layali/data=!4m10!3m9!1s0x13002d2e8be541eb:0x33af3aa3efb44dbe!5m2!4m1!1i2!8m2!3d34.7305573!4d10.7630799!16s%2Fg%2F11c1ny67dj!19sChIJ60Hliy4tABMRvk2076M6rzM?authuser=0&hl=fr&rclk=1
ChIJp8TFnRgtABMRv4oejhN97Mg,LARIMAR HOTEL SFAX,,False,26,https://larimarhotelsfax.com.tn/,LARIMAR HOTEL SFAX (proprietaire),https://www.google.com/maps/contrib/103864973590494801242,https://lh5.googleusercontent.com/p/AF1QipNtXqEJFlicBS4T_3b4gc6KnKDTrSCnIx2PuQvf=w408-h271-k-no,Hotel,Hotel,4.5,,,29 228 260,"LARIMAR HOTEL SFAX, Rue tazarka, Sfax",chambres,https://www.google.com/maps/place/LARIMAR+HOTEL+SFAX/data=!4m10!3m9!1s0x13002d189dc5c4a7:0xc8ec7d138e1e8abf!5m2!4m1!1i2!8m2!3d34.7325889!4d10.7684011!16s%2Fg%2F11kx4npbfp!19sChIJp8TFnRgtABMRv4oejhN97Mg?authuser=0&hl=fr&rclk=1
ChIJCehZuRHTARMRZj_r6zwgBjI,Dar Salma,,False,9,,Dar Salma (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOUoHavCLZz-Qh-zsNuskgYQClBxcgHAAH0_w7-=w408-h306-k-no,Chambre d'hotes,Chambre d'hotes,4.7,,,,"QPJH+J84 Dar Salma, Sfax",,https://www.google.com/maps/place/Dar+Salma/data=!4m10!3m9!1s0x1301d311b959e809:0x3206203cebeb3f66!5m2!4m1!1i2!8m2!3d34.7819953!4d10.7304184!16s%2Fg%2F11rq93xzmk!19sChIJCehZuRHTARMRZj_r6zwgBjI?authuser=0&hl=fr&rclk=1
ChIJ8ZpNQtgsABMRrh40vhM0xxA,Hotel du Parc Club Sfaxien,,False,6,,Hotel du Parc Club Sfaxien (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNQxv-lnavcIOw1S3unusmmX9jHWnmK112lgpB6=w408-h544-k-no,Hotel,Hotel,4.3,,,74 497 794,"PQG3+49J Hotel du Parc Club Sfaxien, Rue Raed el bjaoui, Sfax 3065",,https://www.google.com/maps/place/Hotel+du+Parc+Club+Sfaxien/data=!4m10!3m9!1s0x13002cd8424d9af1:0x10c73413be341eae!5m2!4m1!1i2!8m2!3d34.725344!4d10.7533873!16s%2Fg%2F1pty22nhl!19sChIJ8ZpNQtgsABMRrh40vhM0xxA?authuser=0&hl=fr&rclk=1
