place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJV1o7J0M1_RIR9Bpnx7t7sVI,Movenpick Hotel Du Lac Tunis,"Hotel haut de gamme offrant chambres modernes, certaines avec vue sur le lac, restaurants, spa et piscine.",False,2290,https://movenpick.accor.com/en/africa/tunisia/tunis/hotel-du-lac-tunis.html%3Fmerchantid%3Dseo-maps-TN-B4I1%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26utm_content%3DDu-Lac-Tunis%26y_source%3D1_MTUzNjI2OTItNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Movenpick Hotel Du Lac Tunis (proprietaire),https://www.google.com/maps/contrib/113821044974857555699,https://lh5.googleusercontent.com/p/AF1QipOb7Sa9X6kYk0EAPxH_NzRep8Kcnm_nEZ-jYNIa=w408-h272-k-no,Hotel,Hotel,4.6,,,36 421 000,"Movenpick Hotel Du Lac Tunis, Rue du Lac Huron, Tunis 1053","naim, youssra, reception, remerciement, jeune, interaction, succulents, salam, dhikr, iqama",https://www.google.com/maps/place/M%C3%B6venpick+Hotel+Du+Lac+Tunis/data=!4m10!3m9!1s0x12fd3543273b5a57:0x52b17bbbc7671af4!5m2!4m1!1i2!8m2!3d36.835514!4d10.24847!16s%2Fg%2F11csknkv5g!19sChIJV1o7J0M1_RIR9Bpnx7t7sVI?authuser=0&hl=fr&rclk=1
ChIJzV0eQs-14hIRr_w6avHo0wE,Four Seasons Hotels and Resorts,"Logements elegants dans hotel haut de gamme en bord de golfe avec spa, piscine semi-couverte et 3 restaurants.",False,1249,https://www.fourseasons.com/tunis/%3Futm_source%3Dgoogle%26utm_medium%3Dorganicsearch%26utm_campaign%3Dtor-tsh-hre-mid-seo-na%26utm_content%3Dna-na%26utm_term%3Dna,Four Seasons Hotels and Resorts (proprietaire),https://www.google.com/maps/contrib/109209668988140684852,https://lh5.googleusercontent.com/p/AF1QipP1C-qrXgAlGVq0NbzureelQDK0i5D7HQBskKHO=w408-h248-k-no,Hotel,"Hotel, Residence hoteliere, Complexe hotelier, Spa, Lieu de mariage",4.5,,,31 260 000,"Four Seasons Hotels and Resorts, 1057 La Marsa, Gammarth 1057","spa, plage, diner, 5 etoiles, architecture, cadre, professionnalisme, salle de sport, sublime, haut de gamme",https://www.google.com/maps/place/Four+Seasons+Hotels+and+Resorts/data=!4m10!3m9!1s0x12e2b5cf421e5dcd:0x1d3e8f16a3afcaf!5m2!4m1!1i2!8m2!3d36.9203157!4d10.2941119!16s%2Fg%2F11c5h2cmrd!19sChIJzV0eQs-14hIRr_w6avHo0wE?authuser=0&hl=fr&rclk=1
ChIJ5VakNxU1_RIRc02vxnDMBjY,Barcelo Concorde Les Berges du Lac,"Grand hotel au bord d'un lac avec chambres et suites elegantes, restaurants raffines et spa haut de gamme.",False,1020,https://www.barcelo.com/en-ww/barcelo-concorde-berges-du-lac/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmy_business%26utm_content%3D31485,Barcelo Concorde Les Berges du Lac (proprietaire),https://www.google.com/maps/contrib/114270054252961702493,https://lh5.googleusercontent.com/p/AF1QipNY47zcbxJuaejeGlf1ZtjMztrJEynrgC-ujMm3=w408-h272-k-no,Hotel,Hotel,4,,,71 961 951,"Barcelo Concorde Les Berges du Lac, Rue du Lac Turkana, Tunis 1053","vue, aeroport, etoiles, spa, terrasse, qualite, alcool, business, luxe, gmail",https://www.google.com/maps/place/Barcel%C3%B3+Concorde+Les+Berges+du+Lac/data=!4m10!3m9!1s0x12fd351537a456e5:0x3606cc70c6af4d73!5m2!4m1!1i2!8m2!3d36.8320773!4d10.2367581!16s%2Fg%2F1wt6gd48!19sChIJ5VakNxU1_RIRc02vxnDMBjY?authuser=0&hl=fr&rclk=1
ChIJXYpbjOW14hIRq6-CkzvLoug,The Residence Tunis,"Hotel chic avec acces direct a la plage, spa, 5 restaurants, piscine exterieure et parcours de golf.",False,947,https://www.cenizaro.com/theresidence/tunis%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dtunis,The Residence Tunis (proprietaire),https://www.google.com/maps/contrib/113446093674042027873,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEYlsqHcUDou5uJIH2L4G0Ap2J62xVXn_62ofRfPpJaiPDCXnkTeHqDRCvbn9cyE_4IL1CuOWBok5O0nIGyvHoNNGwbCfCtLoajdA4cWudxR11J9zNAbTZO41YzzFXoamfzUtG9-8pfcAmPIjbZQF9kyqmBriDPVbMkcQm59iVIeu20_hnPe9Ci=w408-h272-k-no,Hotel,"Hotel, Parcours de golf, Complexe hotelier",4.6,,,71 910 101,"The Residence Tunis, Rue de la cote d'Ivoire, La Marsa","piscine, spa, plage, etoiles, thalasso, pays, qualite de service, golf, anis, vue sur mer",https://www.google.com/maps/place/The+Residence+Tunis/data=!4m10!3m9!1s0x12e2b5e58c5b8a5d:0xe8a2cb3b9382afab!5m2!4m1!1i2!8m2!3d36.9263518!4d10.2750328!16s%2Fg%2F1t_6jrc8!19sChIJXYpbjOW14hIRq6-CkzvLoug?authuser=0&hl=fr&rclk=1
ChIJC9P1nGQ0_RIRf5DM7rIaXUQ,Hotel ibis Tunis,"Hotel de style decontracte avec chambres sobres, Wi-Fi gratuit, restaurant simple et bar.",False,926,https://all.accor.com/lien_externe.svlt%3Fgoto%3Dfiche_hotel%26code_hotel%3D6144%26merchantid%3Dseo-maps-TN-6144%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26y_source%3D1_MTUzNjExMTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Hotel ibis Tunis (proprietaire),https://www.google.com/maps/contrib/105041267567602329639,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHA0bamRwJ9EQLSNv9IdZOjxBwJNF7pebWtGx4gF7iqdNKsJbqbkWKEiUWH_t-7_sQBliksY1Nc9pSt4UrcpCKKtBsM-y6xPWunc3a3UtV9n53fGZUSEHAlFNIzI_Xnvvvqi-JWNf8rRgTjfoZU0oolvMSLIYEm3TuhxO0hdwwPl0dU8g8Nloysow=w408-h306-k-no,Hotel,Hotel,4,,,71 830 300,"Hotel ibis Tunis, Rue de Syrie, Tunis 1002","service, chambre, buffet, aeroport, diner, novotel, capitale, souriant, deplacement professionnel, meme",https://www.google.com/maps/place/H%C3%B4tel+ibis+Tunis/data=!4m10!3m9!1s0x12fd34649cf5d30b:0x445d1ab2eecc907f!5m2!4m1!1i2!8m2!3d36.8116062!4d10.1839263!16s%2Fg%2F1tf919bt!19sChIJC9P1nGQ0_RIRf5DM7rIaXUQ?authuser=0&hl=fr&rclk=1
ChIJg8sWCrRK_RIRi8ciewWRvyM,Le Corail Suites Hotel,"Hotel de style decontracte avec hebergements sobres, 2 restaurants lumineux et cafe au mobilier chaleureux.",False,829,https://www.corail-suites.com/,Le Corail Suites Hotel (proprietaire),https://www.google.com/maps/contrib/106527367624462608804,https://lh5.googleusercontent.com/p/AF1QipMerv4s7-PSxZm4AGJZ_vFtbOcJ4tqlubvdMjd1=w408-h272-k-no,Hotel,Hotel,4.4,,,71 268 000,"Le Corail Suites Hotel, Rue de la Feuille D'Erable, Cite Les Pins, Les Berges du Lac 2, Tunis 1053","immortalite, travailleurs, reception, ahlam, interaction, iqama, exorciste, contact humain, belamcanda, verbe",https://www.google.com/maps/place/Le+Corail+Suites+Hotel/data=!4m10!3m9!1s0x12fd4ab40a16cb83:0x23bf91057b22c78b!5m2!4m1!1i2!8m2!3d36.847774!4d10.276207!16s%2Fg%2F12hkyn7c8!19sChIJg8sWCrRK_RIRi8ciewWRvyM?authuser=0&hl=fr&rclk=1
ChIJu0qVf2M0_RIRHNhBaUUs21A,Novotel Tunis,"Hotel haut de gamme avec piscine exterieure, spa, restaurant, 2 bars et centre de remise en forme.",False,806,https://all.accor.com/lien_externe.svlt%3Fgoto%3Dfiche_hotel%26code_hotel%3D6145%26merchantid%3Dseo-maps-TN-6145%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26y_source%3D1_MTUzNjExMTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Novotel Tunis (proprietaire),https://www.google.com/maps/contrib/113415323006757029631,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHN1z9g4JDJT0_n8gp_tuCQl7ffw9jvbtECOG-TKJyfTR-CzkbX_6fEfXIX6dLbMYZDt73s0EZQB2mTkDEBR9HkGmUkP9BMI-VFY0W2lnToImTkarw7vjse0ArTE7EM4niEwkiMHHLjuZoGTsElVXtwxKjM4Ds7OcWiciM3kpXraZtmqQ2kB1FhTg=w408-h272-k-no,Hotel,Hotel,4.1,,,71 830 500,"Novotel Tunis, Ave Mohamed V, Tunis 1002","chambre, bar, piscine, rooftop, aeroport, buffet, salle de sport, centre ville, terrasse, diner",https://www.google.com/maps/place/Novotel+Tunis/data=!4m10!3m9!1s0x12fd34637f954abb:0x50db2c456941d81c!5m2!4m1!1i2!8m2!3d36.8114844!4d10.1840068!16s%2Fg%2F1hc4wjb0d!19sChIJu0qVf2M0_RIRHNhBaUUs21A?authuser=0&hl=fr&rclk=1
ChIJ0fB-6H00_RIRoD-5DP03mm8,Hotel Belvedere Fourati,"Hotel sobre avec 2 restaurants, salon d'accueil, terrasse sur le toit et Wi-Fi gratuit.",False,435,http://www.hotelbelvederetunis.com/,Hotel Belvedere Fourati (proprietaire),https://www.google.com/maps/contrib/103359687394810311674,https://lh5.googleusercontent.com/p/AF1QipP5bvO42D1FOP5pifCbscQKG74Br1iID9Iry3AD=w408-h272-k-no,Hotel,Hotel,4.3,,,71 783 133,"Hotel Belvedere Fourati, 10 Av. Des Etats Unis, Tunis 1002","chambre, service, confort, professionnelle, accueillant, proprete, aeroport, souriant, qualite, centre ville",https://www.google.com/maps/place/H%C3%B4tel+Belv%C3%A9d%C3%A8re+Fourati/data=!4m10!3m9!1s0x12fd347de87ef0d1:0x6f9a37fd0cb93fa0!5m2!4m1!1i2!8m2!3d36.8155057!4d10.1779687!16s%2Fg%2F1vypf0qs!19sChIJ0fB-6H00_RIRoD-5DP03mm8?authuser=0&hl=fr&rclk=1
ChIJ4fSktYk0_RIRzQNbW0R_oN0,Business Hotel,"Hotel elegant avec bar, restaurant sur le toit, salon et espace de reunion.",False,392,https://www.businesshoteltunis.com/,Business Hotel (proprietaire),https://www.google.com/maps/contrib/100324514390236959719,https://lh5.googleusercontent.com/p/AF1QipMxa9AW9LjH-pjBj7xAatybuk6wQ4W3mUkTL869=w408-h255-k-no,Hotel,Hotel,4,,,71 900 555,"Business Hotel, 4 Rue Ibn Nadim, Tunis 1073","chambre, service, la musique, confortable, bruit, voyage, aeroport, etage, qualite, soir",https://www.google.com/maps/place/Business+H%C3%B4tel/data=!4m10!3m9!1s0x12fd3489b5a4f4e1:0xdda07f445b5b03cd!5m2!4m1!1i2!8m2!3d36.818325!4d10.184596!16s%2Fg%2F11bwn563xh!19sChIJ4fSktYk0_RIRzQNbW0R_oN0?authuser=0&hl=fr&rclk=1
ChIJA-Bme3Q0_RIRdmMuuMgNax0,Hotel Royal Victoria,"Hotel style mauresque, ancienne ambassade du XVIIe siecle, chambres chics, resto avec terrasse/vue sur ville.",False,375,https://hotel-royalvictoria.com/,Hotel Royal Victoria (proprietaire),https://www.google.com/maps/contrib/106532387569314109289,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF90FkikFXhVOCD33YF6WfHJ3asjtVRpXH5qJCpT9oieaXhUKJzcEmaHEhe0Luwl-VA1sL_5ssRUomhBXbp3pHpkIPFMs15nzLSPKXSylthJKUCef9p2y6WBHNmXaDG0bkNaOdmAHmtn-P9uUJPJxMVnd9N0-qPtJrHO3GbuFWq9-66ggrTjQ=w408-h408-k-no,Hotel,Hotel,4.3,,,71 320 066,"Hotel Royal Victoria, 5 place de la Victoire, Port de France, Tunis 1001","chambre, service, porte, ambassade, architecture, je, decoration, etoiles, histoire, balcon",https://www.google.com/maps/place/H%C3%B4tel+Royal+Victoria/data=!4m10!3m9!1s0x12fd34747b66e003:0x1d6b0dc8b82e6376!5m2!4m1!1i2!8m2!3d36.79942!4d10.1753245!16s%2Fg%2F11cr_vbdrp!19sChIJA-Bme3Q0_RIRdmMuuMgNax0?authuser=0&hl=fr&rclk=1
