place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJHzgEBTBtAhMRqyURTru9pFM,Ribat de Monastir,Immense fort cotier du VIIIe siecle bien conserve et abritant aujourd'hui le musee d'Art islamique.,False,2204,,Ribat de Monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOZF3SFW5N_4PyjWhsF7iV8a55W4OH1rzx0bePe=w408-h306-k-no,Lieu historique,"Lieu historique, Site historique, Musee, Attraction touristique",4.6,08:30-17:30,,42 223 476,"QRGM+F6M Ribat de Monastir, Rte de la Falaise, Monastir","tour, fortification, especes, mer, dinar, mosquee, musulmans, habib bourguiba, mausolee, viiie siecle",https://www.google.com/maps/place/Ribat+de+Monastir/data=!4m7!3m6!1s0x13026d300504381f:0x53a4bdbb4e1125ab!8m2!3d35.7762108!4d10.8330383!16s%2Fg%2F121djqp8!19sChIJHzgEBTBtAhMRqyURTru9pFM?authuser=0&hl=fr&rclk=1
ChIJAVBcPNoSAhMRHAXWlZU_P1c,Restaurant le Pirate Monastir,,False,890,,Restaurant le Pirate Monastir (proprietaire),https://www.google.com/maps/contrib/106672418689060159957,https://lh5.googleusercontent.com/p/AF1QipOZn1A4VZDRSg0RXYhPDonDAMiYdmWJekMzOBfM=w408-h271-k-no,Restaurant de fruits de mer,"Restaurant de fruits de mer, Restaurant tunisien",4.3,"12:00-16:00, 19:00-23:00",lundi,73 468 126,"Restaurant le Pirate Monastir, Fishing Port 5000, El Ghedir, Monastir","service, dessert, entrees, tunisienne, serveurs, moules, dorade, dinar, sorbet, table d'hote",https://www.google.com/maps/place/Restaurant+le+Pirate+Monastir/data=!4m7!3m6!1s0x130212da3c5c5001:0x573f3f9595d6051c!8m2!3d35.7601679!4d10.838593!16s%2Fg%2F1vvw_q32!19sChIJAVBcPNoSAhMRHAXWlZU_P1c?authuser=0&hl=fr&rclk=1
ChIJaZytwjFtAhMRxi7YVx8htrY,Marina Cap Monastir,,False,296,http://www.marinamonastir.tn/,Marina Cap Monastir (proprietaire),https://www.google.com/maps/contrib/105575932631645469969,https://lh5.googleusercontent.com/p/AF1QipPvq-nBxF5xZxwU8B3MzPrZo_isoMa1RfI_Ul1G=w425-h240-k-no,Port de plaisance,"Port de plaisance, Hotel de ville, Cafe, Salle de reception, Hotel, Restaurant, Appartement de vacances",4.5,,,73 462 305,"Marina Cap Monastir, Monastir","cafes, appartement, prix, climatise, soir, marche",https://www.google.com/maps/place/Marina+Cap+Monastir/data=!4m7!3m6!1s0x13026d31c2ad9c69:0xb6b6211f57d82ec6!8m2!3d35.7796346!4d10.8333832!16s%2Fg%2F1tf91xsv!19sChIJaZytwjFtAhMRxi7YVx8htrY?authuser=0&hl=fr&rclk=1
ChIJm86X3q8SAhMRPlTd9seWfho,La reserve,,False,215,,La reserve (proprietaire),https://www.google.com/maps/contrib/117159273324610209511,https://lh5.googleusercontent.com/p/AF1QipN1ejmjBO0xjJFa2MLjuxS2zTHTT5vcOB_Iwi0N=w408-h536-k-no,Restauration rapide,Restauration rapide,4,11:30-23:00,dimanche,73 502 300,"La reserve, C100e, Monastir","plats, prix, salade cesar, proprete",https://www.google.com/maps/place/La+r%C3%A9serve/data=!4m7!3m6!1s0x130212afde97ce9b:0x1a7e96c7f6dd543e!8m2!3d35.7659093!4d10.8109774!16s%2Fg%2F11c5g87x2b!19sChIJm86X3q8SAhMRPlTd9seWfho?authuser=0&hl=fr&rclk=1
ChIJfYRonjFtAhMRjZi-kJ8k7Zo,restaurant Marina The Captain,,False,193,,restaurant Marina The Captain (proprietaire),https://www.google.com/maps/contrib/108635381557886008937,https://lh5.googleusercontent.com/p/AF1QipPXokv33fGNYd7l6qLJIMJmTnLLmdh3g1_It40I=w426-h240-k-no,Restaurant,"Restaurant, Bar",4.2,12:00-00:00,lundi,92 555 655,"restaurant Marina The Captain, cap marina, Monastir 5000","prix, filet, serveur, fruits de mer, vin, plats, assiette, couscous, terrasse, soir",https://www.google.com/maps/place/restaurant+Marina+The+Captain/data=!4m7!3m6!1s0x13026d319e68847d:0x9aed249f90be988d!8m2!3d35.7797844!4d10.8313384!16s%2Fg%2F11dxrnl3nb!19sChIJfYRonjFtAhMRjZi-kJ8k7Zo?authuser=0&hl=fr&rclk=1
ChIJGY_8udUSAhMRxYpwCyKkI5E,El Ferik,,False,189,https://www.facebook.com/Restaurant.El.Ferik/,El Ferik (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNFgEhgN6M_KPRsbeuGg11IfOZ_yHo7FFSf5QfK=w408-h306-k-no,Restaurant,"Restaurant, Lieu historique",3.8,09:00-01:00,,73 462 220,"QR9V+98R El Ferik, Route de la Courniche, Monastir","vue, mer, serveur, plats, prix, terrasse, qualite",https://www.google.com/maps/place/El+Ferik/data=!4m7!3m6!1s0x130212d5b9fc8f19:0x9123a4220b708ac5!8m2!3d35.7684978!4d10.8432812!16s%2Fg%2F1tjxzqk1!19sChIJGY_8udUSAhMRxYpwCyKkI5E?authuser=0&hl=fr&rclk=1
ChIJ2fGHmtQSAhMRscfGnYz76EU,Restaurant La Plage,,False,33,,Restaurant La Plage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMKsEnEa4xt-x8AnHI5oquP23V9B49SjCQLBMId=w408-h306-k-no,Restaurant,Restaurant,4,11:00-22:00,,73 461 124,"QRCR+63F Restaurant La Plage, Monastir",poisson,https://www.google.com/maps/place/Restaurant+La+Plage/data=!4m7!3m6!1s0x130212d49a87f1d9:0x45e8fb8c9dc6c7b1!8m2!3d35.7705728!4d10.8401771!16s%2Fg%2F11c1m00k2r!19sChIJ2fGHmtQSAhMRscfGnYz76EU?authuser=0&hl=fr&rclk=1
ChIJL7FvxMJtAhMRDjcRXjbXuLU,Plongeoir plage karaia de Monastir lmyd@,,False,29,,Plongeoir plage karaia de Monastir lmyd@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMfyzKcjLEXdzV6qzy2mCGScVl-61Ja7ibKbhT5=w422-h240-k-no,Attraction touristique,Attraction touristique,4.3,Ouvert 24h/24,,,"QRFQ+R4H Plongeoir plage karaia de Monastir lmyd@, Monastir",plages,https://www.google.com/maps/place/Plongeoir+plage+karaia+de+Monastir+%D8%A7%D9%84%D9%85%D9%8A%D8%AF%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x13026dc2c46fb12f:0xb5b8d7365e11370e!8m2!3d35.7745733!4d10.8378637!16s%2Fg%2F11h51086l8!19sChIJL7FvxMJtAhMRDjcRXjbXuLU?authuser=0&hl=fr&rclk=1
ChIJ_woXz2NtAhMRiR1eaDe_7t4,Plage de Monastir,,False,12,,Plage de Monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPmvJn6KPG2Zoo0bT2BxdWs0Bh948cG2OBqcVI3=w408-h306-k-no,Pavillon de plage,Pavillon de plage,3.9,,,,"QRGP+355 Plage de Monastir, Unnamed Road, Monastir",,https://www.google.com/maps/place/Plage+de+Monastir/data=!4m7!3m6!1s0x13026d63cf170aff:0xdeeebf37685e1d89!8m2!3d35.7751329!4d10.835476!16s%2Fg%2F11hgdnk78x!19sChIJ_woXz2NtAhMRiR1eaDe_7t4?authuser=0&hl=fr&rclk=1
ChIJWxph9TptAhMRSRB7LyzGJw4,Port,,False,12,,Port (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOpTC7IKH9MdKPHGlgFluP5KpudJL3An-TrVw8X=w426-h240-k-no,Attraction touristique,Attraction touristique,4.8,,,,"QRHM+6CG Port, Monastir",,https://www.google.com/maps/place/Port/data=!4m7!3m6!1s0x13026d3af5611a5b:0xe27c62c2f7b1049!8m2!3d35.7780614!4d10.8335627!16s%2Fg%2F11kpdd5mh2!19sChIJWxph9TptAhMRSRB7LyzGJw4?authuser=0&hl=fr&rclk=1
