place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJj6sIGGmXqhMRzELxbkXmJJ0,Djerba Explore Park,"Parc avec ferme aux crocodiles, musee et reconstitutions d'une maison, d'un moulin et d'un atelier de poterie.",False,3127,http://www.djerbaexplore.com/,Djerba Explore Park (proprietaire),https://www.google.com/maps/contrib/103898578435381342533,https://lh5.googleusercontent.com/p/AF1QipNckFUfZbAnkAZCneAF6EoOVu8kOs60uDQk-xUa=w408-h267-k-no,Parc a theme,"Parc a theme, Residence hoteliere, Boutique de cadeaux, Restaurant",4.6,,,75 745 277,"Djerba Explore Park, Midoun, Djerba Midun","crocodiliens, reptiles, tortues, ferme, iguanes, musee en plein air, heritage, chameaux",https://www.google.com/maps/place/Djerba+Explore+Park/data=!4m10!3m9!1s0x13aa97691808ab8f:0x9d24e6456ef142cc!5m2!4m1!1i2!8m2!3d33.8187713!4d11.0432121!16s%2Fg%2F1v2dh410!19sChIJj6sIGGmXqhMRzELxbkXmJJ0?authuser=0&hl=fr&rclk=1
ChIJ-QCaR2iXqhMR7qBwoBfwAh8,Ferme aux Crocodiles,"Grand zoo avec crocodiles, nourrissages publics, autres reptiles divers et musee historique.",False,3072,http://djerbaexplore.com/,Ferme aux Crocodiles (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPNnucVXzFuykY5GVVzdGS8nA8Yu0FeN4Dw15Cj=w408-h541-k-no,Zoo,"Zoo, Attraction touristique",4.6,09:00-18:00,lundi,75 745 277,"R29V+P5X Ferme aux Crocodiles, Unnamed Road, Djerba Midun","tortues, reptiles, iguanes, village, crocodile du nil, spectacle, ile, musee en plein air, musee local",https://www.google.com/maps/place/Ferme+aux+Crocodiles/data=!4m7!3m6!1s0x13aa9768479a00f9:0x1f02f017a070a0ee!8m2!3d33.8193539!4d11.0429871!16s%2Fm%2F0n8jg6x!19sChIJ-QCaR2iXqhMR7qBwoBfwAh8?authuser=0&hl=fr&rclk=1
ChIJU6a4Nxq7qhMRxMlTUd_iMWA,Djerbahood,Village entier orne d'oeuvres de rue realisees par des artistes originaires de plus de 30 pays.,False,2921,http://djerbahood.com/,Djerbahood (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNZESc51wM25kBDLPIgBPHwZS-d_VvzkpsFb_Dk=w408-h306-k-no,Musee en plein air,"Musee en plein air, Attraction touristique",4.6,Ouvert 24h/24,,,"RVC3+GP4 Djerbahood, Hara Sghira Er Riadh","village, street art, artistes, ruelles, fresques, ile, quartier, ballade, bougainvillea, synagogue",https://www.google.com/maps/place/Djerbahood/data=!4m7!3m6!1s0x13aabb1a37b8a653:0x6031e2df5153c9c4!8m2!3d33.82127!4d10.8543415!16s%2Fg%2F11b6rkdl_f!19sChIJU6a4Nxq7qhMRxMlTUd_iMWA?authuser=0&hl=fr&rclk=1
ChIJ6xCYZxa5qhMRpXwJba8Cw5A,Musee de Guellala,"Inspire d'une maison tunisienne, ce musee explore l'artisanat et le folklore local avec des statues de cire.",False,2117,,Musee de Guellala (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOn0eaILMJo9HWebtDiDjE8aG_ZJ-yHDj_AH50Q=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.4,08:00-18:00,,75 761 114,"PVM8+26Q Musee de Guellala, Guellala 4155","traditions, ile, coutumes, mariage, patrimoine, mise en scene, folklore, mannequins, vie quotidienne, calligraphie",https://www.google.com/maps/place/Mus%C3%A9e+de+Guellala/data=!4m7!3m6!1s0x13aab916679810eb:0x90c302af6d097ca5!8m2!3d33.7325783!4d10.8656196!16s%2Fg%2F11hbgb2596!19sChIJ6xCYZxa5qhMRpXwJba8Cw5A?authuser=0&hl=fr&rclk=1
ChIJL01n3PGkqhMRwiUZ9W3cRVc,Fort Ghazi Mustapha,,False,486,,Fort Ghazi Mustapha (proprietaire),https://www.google.com/maps/contrib/107523545098704283226,https://lh5.googleusercontent.com/p/AF1QipP3ZgNaKvz0frgUs54Kyyz-As4hbbWuhV0B51Uw=w408-h544-k-no,Site historique,"Site historique, Lieu historique",4.4,09:30-16:30,vendredi,75 653 786,"Fort Ghazi Mustapha, Houmt Souk","forteresse, fortification, ile, prix, espace, especes, port, archeologique, 1560, main courante",https://www.google.com/maps/place/Fort+Ghazi+Mustapha/data=!4m7!3m6!1s0x13aaa4f1dc674d2f:0x5745dc6df51925c2!8m2!3d33.883964!4d10.8606904!16s%2Fg%2F1vb9g70w!19sChIJL01n3PGkqhMRwiUZ9W3cRVc?authuser=0&hl=fr&rclk=1
ChIJ4fRNA2mXqhMR5D6yj9oBrcg,Musee Lalla Hadria,,False,203,,Musee Lalla Hadria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCa_tbRLfogovi7NkUVr8Uu4NtWcnNxrnFNcDS=w408-h274-k-no,Musee d'histoire locale,"Musee d'histoire locale, Attraction touristique",4.6,09:00-17:00,lundi,,"R29W+W22 Musee Lalla Hadria, Djerba Midun","musulmans, culture, bijoux, vetements, l'art, parc",https://www.google.com/maps/place/Mus%C3%A9e+Lalla+Hadria/data=!4m7!3m6!1s0x13aa9769034df4e1:0xc8ad01da8fb23ee4!8m2!3d33.8197621!4d11.045031!16s%2Fg%2F11f3n36w40!19sChIJ4fRNA2mXqhMR5D6yj9oBrcg?authuser=0&hl=fr&rclk=1
ChIJi5wTtEC9qhMRUMnx71F7FGY,Mosquee Fadhloun Djerba Midoun,,False,124,,Mosquee Fadhloun Djerba Midoun (proprietaire),https://www.google.com/maps/contrib/107354396603696997472,https://lh5.googleusercontent.com/p/AF1QipPRm_6HB-QwVbQwzR_yw1FVlWe9tiM-0-dxckhU=w427-h240-k-no,Mosquee,"Mosquee, Lieu historique, Attraction touristique",4.6,08:00-12:00,vendredi,,"Mosquee Fadhloun Djerba Midoun, Houmt Souk",,https://www.google.com/maps/place/Mosquee+Fadhloun+Djerba+Midoun/data=!4m7!3m6!1s0x13aabd40b4139c8b:0x66147b51eff1c950!8m2!3d33.824789!4d10.9593005!16s%2Fg%2F1236ymc6!19sChIJi5wTtEC9qhMRUMnx71F7FGY?authuser=0&hl=fr&rclk=1
ChIJYZM5Ku-kqhMRlqFf9XX6uyc,Mosquee des Turcs,,False,120,,Mosquee des Turcs (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOkgEJ7EOrNiJQjt13Ms8fIEMKEyKLVzXPBiX4J=w408-h272-k-no,Mosquee,"Mosquee, Attraction touristique",4.5,,,,"Mosquee des Turcs, 32 Rue 2 Mars 1934, Houmt Souk","histoire, architecture, eglise",https://www.google.com/maps/place/Mosqu%C3%A9e+des+Turcs/data=!4m7!3m6!1s0x13aaa4ef2a399361:0x27bbfa75f55fa196!8m2!3d33.8781407!4d10.8591697!16s%2Fg%2F121v2cl4!19sChIJYZM5Ku-kqhMRlqFf9XX6uyc?authuser=0&hl=fr&rclk=1
ChIJ1X3vIue_qhMRS8kQwWaH9iU,Fort de Borj El Kastil,,False,52,,Fort de Borj El Kastil (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOjaFNzCpKCNLySpk6Zco_twIoXHRkVoIJu4EDp=w408-h306-k-no,Forteresse,"Forteresse, Attraction touristique",4.6,,,,"MXMF+CGC Fort de Borj El Kastil, Ghardaia","quad, mer, ruines",https://www.google.com/maps/place/Fort+de+Borj+El+Kastil/data=!4m7!3m6!1s0x13aabfe722ef7dd5:0x25f68766c110c94b!8m2!3d33.683551!4d10.9737673!16s%2Fg%2F11g7z0fx5d!19sChIJ1X3vIue_qhMRS8kQwWaH9iU?authuser=0&hl=fr&rclk=1
ChIJixcbVW-XqhMRVh4ZJZ0v7Zc,Phare De DjerbanZwr jrb@,,False,43,,Phare De DjerbanZwr jrb@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNafN77ArdXJiFJmOaM9L5Q_7XU8m1dpXj8wSd5=w408-h544-k-no,Site historique,Site historique,4,Ouvert 24h/24,,,"R2FV+542 Phare De DjerbanZwr jrb@, Djerba Midun",,https://www.google.com/maps/place/Phare+De+Djerba%D9%86%D8%A7%D8%B8%D9%88%D8%B1+%D8%AC%D8%B1%D8%A8%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x13aa976f551b178b:0x97ed2f9d25191e56!8m2!3d33.8228818!4d11.0427665!16s%2Fg%2F11c11_1svw!19sChIJixcbVW-XqhMRVh4ZJZ0v7Zc?authuser=0&hl=fr&rclk=1
