place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJuQkhEJOkqhMR586ITLFtkkg,Iberostar Mehari Djerba,,False,3360,https://www.iberostar.com/en/hotels/djerba/iberostar-mehari-djerba/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DIBSVOL_EMEA_SEOLOC_GMB_NA_EN_ESP_PENAND_MLG_MAP_PULL_NA_NA_NA_NA_NA,Iberostar Mehari Djerba (proprietaire),https://www.google.com/maps/contrib/105132962955567951049,https://lh5.googleusercontent.com/p/AF1QipPFoA2Dl79eQaGHq42X6pu0dHwsgm6ZnJ2bSGvR=w408-h272-k-no,Hotel,"Hotel, Complexe hotelier, Hotel bien-etre",4.7,,,75 745 240,"Iberostar Mehari Djerba, Route Touristique Midoun Djerba, Djerba 4116","animation, conges, animateurs, spectacles, directeur, tennis, toboggans, algues, mini golf, citroen mehari",https://www.google.com/maps/place/Iberostar+Mehari+Djerba/data=!4m10!3m9!1s0x13aaa493102109b9:0x48926db14c88cee7!5m2!4m1!1i2!8m2!3d33.8271203!4d11.0209671!16s%2Fg%2F1q66q_zp7!19sChIJuQkhEJOkqhMR586ITLFtkkg?authuser=0&hl=fr&rclk=1
ChIJEyHwGWeXqhMRbHtM8lr3zvA,Seabel Rym Beach Djerba,"Hotel balneaire convivial avec chambres claires, 2 restaurants, spa, bassin interieur et piscines exterieures.",False,2671,https://www.seabelhotels.com/fr/seabel-rym-beach/accueil/,Seabel Rym Beach Djerba (proprietaire),https://www.google.com/maps/contrib/108829420509682589352,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFPcXAHTgnbE5rGZKD0KizrmjAK1eLTxOvqw8Y_EkQe-ZJcK1x7-c_DZkCmaJgjZ3isnTBzQo8cy6I-U_P3Xix6Aq1by2uiJD78adkp4nftAzxHW1QPhYqksoJbQEWRZ24Z_2e0UZae25Rw24BeWwSTrqvQNrhvIOFZWA8pPchAZc_bRWyYIZwR=w444-h240-k-no,Hotel,Hotel,4.4,,,75 745 614,"Seabel Rym Beach Djerba, BP 155, Midoun, Djerba Midun 4116","animation, spectacles, danse, animateurs, algues, conges, aquagym, zumba, chien errant, top ! les",https://www.google.com/maps/place/Seabel+Rym+Beach+Djerba/data=!4m10!3m9!1s0x13aa976719f02113:0xf0cef75af24c7b6c!5m2!4m1!1i2!8m2!3d33.8280394!4d11.0467786!16s%2Fg%2F1tg7p8wr!19sChIJEyHwGWeXqhMRbHtM8lr3zvA?authuser=0&hl=fr&rclk=1
ChIJlc1Ea9uXqhMRcVyRMe-m1iM,Hotel Vincci Helios Beach,"Hotel haut de gamme tout compris en bord de plage avec piscines exterieures, tennis, spa et restaurant.",False,2279,https://vincciheliosbeach.net/,Hotel Vincci Helios Beach (proprietaire),https://www.google.com/maps/contrib/110091096940975974156,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFPNVLDkL6WhOCHkLEnkyK3K3Yg3o9s3zTKWoLjrdPKqUKFhCSbNkM4NKvIKEsS-YgWS_CdyYloQS6IkLpXl6XwCbNxmm7eNOpxmh1lHtdHiBm4-TiFbPOJAB2BzY_s5sKO-8dvL1X8VELrFwoHV0LJKRkcrbAf58NnmZVfnMho7KUTVBkdH3LY8Q=w408-h271-k-no,Hotel,Hotel,4.3,,,75 745 110,"Hotel Vincci Helios Beach, vincci helios beach, djerba 4116","animation, spectacles, animateurs, serveurs, quad, present, petanque, aerobic, arc, barack obama",https://www.google.com/maps/place/H%C3%B4tel+Vincci+Helios+Beach/data=!4m10!3m9!1s0x13aa97db6b44cd95:0x23d6a6ef31915c71!5m2!4m1!1i2!8m2!3d33.8178379!4d11.0527579!16s%2Fg%2F11b6dnr8ff!19sChIJlc1Ea9uXqhMRcVyRMe-m1iM?authuser=0&hl=fr&rclk=1
ChIJyQ5dewWYqhMRESf_SFuZOAo,Fiesta Beach Djerba,"Hotel tout compris a l'ambiance detendue en face d'une plage privee, avec spa, piscines et club enfants.",False,1870,https://www.fiesta-beach.com/,Fiesta Beach Djerba (proprietaire),https://www.google.com/maps/contrib/109622698977033489342,https://lh5.googleusercontent.com/p/AF1QipNgSdb9j_lEih9TPe21U_vSZR0Xe3oPUgeeNFSj=w408-h272-k-no,Hotel,Hotel,4.2,,,75 758 009,"Fiesta Beach Djerba, Zone Touristique Midoun Midoun Djerba, 4116","animation, animateurs, spectacles, toboggans, serveurs, danse, chameaux, quad, zumba, petanque",https://www.google.com/maps/place/Fiesta+Beach+Djerba/data=!4m10!3m9!1s0x13aa98057b5d0ec9:0xa38995b48ff2711!5m2!4m1!1i2!8m2!3d33.849455!4d10.9883339!16s%2Fg%2F1tf04yx9!19sChIJyQ5dewWYqhMRESf_SFuZOAo?authuser=0&hl=fr&rclk=1
ChIJ_yNZLHuWqhMRRxydYtHhhuY,Seabel Aladin Djerba,"Etablissement anime en bord de plage avec piscines en interieur et exterieur, restaurants, 4 bars et tennis.",False,1587,https://www.seabelhotels.com/fr/seabel-aladin/accueil/,Seabel Aladin Djerba (proprietaire),https://www.google.com/maps/contrib/100154258045275930310,https://lh5.googleusercontent.com/p/AF1QipMn7IVWYzAMaju8BZl6vSR7orwTerJL60E0rQ1u=w408-h255-k-no,Hotel,Hotel,4.3,,,75 750 180,"Seabel Aladin Djerba, Zone Touristique, Aghir 4116","animation, animateurs, spectacles, directeur, algues, transat, bungalow, qualite, discotheque, rocky",https://www.google.com/maps/place/Seabel+Aladin+Djerba/data=!4m10!3m9!1s0x13aa967b2c5923ff:0xe686e1d1629d1c47!5m2!4m1!1i2!8m2!3d33.7643954!4d11.0217263!16s%2Fg%2F1tdj7m2v!19sChIJ_yNZLHuWqhMRRxydYtHhhuY?authuser=0&hl=fr&rclk=1
ChIJixrgFe-kqhMRxS_sg8QSV9U,TUI BLUE Palm Beach Palace,"Complexe elegant tout compris pour adultes avec spa, piscines, 5 bars et espace prive sur plage.",False,1555,https://www.tui-blue.com/hotels/tui-blue-palm-beach-palace,TUI BLUE Palm Beach Palace (proprietaire),https://www.google.com/maps/contrib/105566098666531530021,https://lh3.googleusercontent.com/gps-proxy/ALd4DhELr1UqGKIDe7xPvvrIQhvxT3zb3ZAqZvBuSqaf9eVi2RFO2JjES7pCbAYcGxvjKLkSIKQey770WdwKxDClcJ0k5BA1QvbkZfSZoOcuiegknzc3iZLRI3w-ZMHxiEen_a0Tqeq4rLWbMi_iCmxfn2jFM1X0lvMz6wbjmOcJAeuKAH9XmPmfhW0P=w408-h272-k-no,Hotel,Hotel,4.5,,,75 758 989,"TUI BLUE Palm Beach Palace, 383 Zone Touristique, Houmt Souk 4180","animations, serveurs, all inclusive, reve, transats, directeur, parasols, petanque, crudites, hamza",https://www.google.com/maps/place/TUI+BLUE+Palm+Beach+Palace/data=!4m10!3m9!1s0x13aaa4ef15e01a8b:0xd55712c483ec2fc5!5m2!4m1!1i2!8m2!3d33.8511947!4d10.9899045!16s%2Fg%2F1vnnfnsm!19sChIJixrgFe-kqhMRxS_sg8QSV9U?authuser=0&hl=fr&rclk=1
ChIJAQx2W-uiqhMRPCMFV3TNGIc,"Radisson Blu Palace Resort & Thalasso, Djerba","Hotel elegant avec chambres et suites lumineuses, Wi-Fi gratuit et acces direct a la plage.",False,1551,https://www.radissonhotels.com/en-us/hotels/radisson-blu-resort-djerba%3Fcid%3Da:se%2Bb:gmb%2Bc:emea%2Bi:local%2Be:rdb%2Bd:mea%2Bh:TNDJERTH,"Radisson Blu Palace Resort & Thalasso, Djerba (proprietaire)",https://www.google.com/maps/contrib/116244864282295841244,https://lh5.googleusercontent.com/p/AF1QipNyi-kRI6Ffc7Khh5YVeEWQIxsefCIuARqUZE-e=w408-h272-k-no,Complexe hotelier,"Complexe hotelier, Hotel",4,,,75 757 600,"Radisson Blu Palace Resort & Thalasso, Djerba, Houmt Souk 4128","spa, serveurs, catastrophique, gentillesse, menage, animation, buffet, luxe, qualite, hammam","https://www.google.com/maps/place/Radisson+Blu+Palace+Resort+%26+Thalasso,+Djerba/data=!4m10!3m9!1s0x13aaa2eb5b760c01:0x8718cd745705233c!5m2!4m1!1i2!8m2!3d33.8706078!4d10.9591664!16s%2Fg%2F1tg8fq8k!19sChIJAQx2W-uiqhMRPCMFV3TNGIc?authuser=0&hl=fr&rclk=1"
ChIJP9YFyB6YqhMRkP8I86ScHcE,Sentido Djerba Beach,"Chambres sobres dans hotel convivial en bord de plage privee avec restaurants, bars, piscines et spa.",False,1453,https://www.ttshotels.com.tn/djerbabeach/,Sentido Djerba Beach (proprietaire),https://www.google.com/maps/contrib/109259984569035313603,https://lh5.googleusercontent.com/p/AF1QipNdXlPPy5UvjZJ12P2pwvNIV8dRSQ297kNUe0Rc=w408-h272-k-no,Hotel,"Hotel, Complexe hotelier",4.2,,,75 731 200,"Sentido Djerba Beach, Zone touristique, Midoun 4116","animation, transats, serveurs, animateurs, tout compris, menage, envie, malades, chameau",https://www.google.com/maps/place/Sentido+Djerba+Beach/data=!4m10!3m9!1s0x13aa981ec805d63f:0xc11d9ca4f308ff90!5m2!4m1!1i2!8m2!3d33.8429603!4d10.9989976!16s%2Fg%2F1twxbpcv!19sChIJP9YFyB6YqhMRkP8I86ScHcE?authuser=0&hl=fr&rclk=1
ChIJ_R7gOu-WqhMRw1YfEvMqQ18,Royal Karthago Resort & Thalasso,"Chambres sans pretention dans un complexe convivial en bord de plage avec restaurant, spa geothermique et piscine.",False,1311,https://royalkarthago.com/,Royal Karthago Resort & Thalasso (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNTD_7T-CgIZFzAiteiWLKqFwBhghPJ-HUv1ozb=w823-h240-k-no,Hotel,Hotel,4.1,,,75 751 000,"B.P. 125, Royal Karthago Resort & Thalasso, Midoun, Aghir 4116","algues, bemol, animation, transats, animateurs, all inclusive, quad, directeur, le soir, otites",https://www.google.com/maps/place/Royal+Karthago+Resort+%26+Thalasso/data=!4m10!3m9!1s0x13aa96ef3ae01efd:0x5f432af3121f56c3!5m2!4m1!1i2!8m2!3d33.7778309!4d11.0419752!16s%2Fg%2F11d_8dq9_9!19sChIJ_R7gOu-WqhMRw1YfEvMqQ18?authuser=0&hl=fr&rclk=1
ChIJ15__OxuYqhMRYkkqcnp1wGQ,TUI MAGIC LIFE Penelope Beach,"Etablissement balneaire moderne avec plusieurs restaurants et bars, parc aquatique et 9 piscines.",False,1284,https://www.magiclife.com/de/de/cluburlaub/tunesien/penelope-beach/club-details/?utm_campaign=googlemybusiness&utm_medium=organic&utm_source=google,TUI MAGIC LIFE Penelope Beach (proprietaire),https://www.google.com/maps/contrib/111899763353853749137,https://lh5.googleusercontent.com/p/AF1QipPYn-isbgw53U1fJ9vp1PeeDBoLfodkA0eKIuwx=w408-h271-k-no,Hotel,Hotel,4.4,,,75 731 454,"B.P. 257, TUI MAGIC LIFE Penelope Beach, Zone Touristique, Houmt Souk 4180","animations, sports, parc aquatique, toboggans, spectacle vivant, tir a l'arc, buffet, animateurs, ski nautique",https://www.google.com/maps/place/TUI+MAGIC+LIFE+Penelope+Beach/data=!4m10!3m9!1s0x13aa981b3bff9fd7:0x64c0757a722a4962!5m2!4m1!1i2!8m2!3d33.8459642!4d10.9925602!16s%2Fg%2F1v2030c3!19sChIJ15__OxuYqhMRYkkqcnp1wGQ?authuser=0&hl=fr&rclk=1
