place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJpTfXJJaJ_RIRhuG0LF7HAuc,Hotel Iberostar SELECTION Diar El Andalous,"Hotel balneaire chic avec logements elegants, vue sur golfe pour certains, cuisine raffinee, spa, 2 piscines.",False,6813,https://www.iberostar.com/en/hotels/sousse/iberostar-diar-el-andalous/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DIBSVOL_EMEA_SEOLOC_GMB_NA_EN_TUN_TUN_SOU_DEA_PULL_NA_NA_NA_NA_NA,Hotel Iberostar SELECTION Diar El Andalous (proprietaire),https://www.google.com/maps/contrib/114312565251924916863,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFlnfpswwu04yfsS5368mfWO4wPcsT7-aeXLOJArQyLNRyIGuc9KpJ1r3aeXy2UbCWLmRbBhBhLzUJxsfw4EtNhBR3wuieGjVwu5AifPpKiwsjcC1iKEIabHq44uykwD8fRDjCbWN7z3vFvuSKPycOK8ZfAu90N_RQI801PWp6due7FUXV_u_LS=w408-h272-k-no,Hotel,"Hotel, Complexe hotelier",4.8,,,73 246 200,"Hotel Iberostar SELECTION Diar El Andalous, 40 Port El Kantaoui BP, Sousse 4089","animation, equipe, divertissement, animateurs, josip broz tito, danser, spectacles, dedicace, zico, thangka",https://www.google.com/maps/place/Hotel+Iberostar+SELECTION+Diar+El+Andalous/data=!4m10!3m9!1s0x12fd899624d737a5:0xe702c75e2cb4e186!5m2!4m1!1i2!8m2!3d35.9027479!4d10.5887188!16s%2Fg%2F1tdtx_77!19sChIJpTfXJJaJ_RIRhuG0LF7HAuc?authuser=0&hl=fr&rclk=1
ChIJdc-EXIR1AhMRfunMH3KWB8o,JAZ Tour KHALEF,"Complexe raffine avec chambres et suites claires, spa, piscines d'eau salee et vue sur mer.",False,6106,https://www.jazhotels.com/hoteldetail/48-tunisia-tunisia-jaz-tour-khalef,JAZ Tour KHALEF (proprietaire),https://www.google.com/maps/contrib/117198368217060196270,https://lh5.googleusercontent.com/p/AF1QipODLb067KC1dTP_zHwcU8dc_vgjDdNUXh6IZSem=w408-h272-k-no,Hotel,"Hotel, Spa",4.7,,,73 241 844,"JAZ Tour KHALEF, Bd du 14 Janvier, Sousse 4051","animation, thalasso, animateurs, l'equipe, jazz, remerciement, disco, mahdi, fatiha",https://www.google.com/maps/place/JAZ+Tour+KHALEF/data=!4m10!3m9!1s0x130275845c84cf75:0xca0796721fcce97e!5m2!4m1!1i2!8m2!3d35.8488573!4d10.6198143!16s%2Fg%2F1hhxpwzxg!19sChIJdc-EXIR1AhMRfunMH3KWB8o?authuser=0&hl=fr&rclk=1
ChIJd7cxw6WJ_RIRwXZr4tiG3vg,Iberostar Selection Kantaoui Bay,,False,4214,https://www.iberostar.com/en/hotels/sousse/iberostar-kantaoui-bay/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DIBSVOL_EMEA_SEOLOC_GMB_NA_EN_TUN_TUN_SOU_KAN_PULL_NA_NA_NA_NA_NA,Iberostar Selection Kantaoui Bay (proprietaire),https://www.google.com/maps/contrib/108387175714831615540,https://lh5.googleusercontent.com/p/AF1QipOVU3xwYnExuTr2TeIcyx5t76cewpuaEgDiUhL2=w408-h272-k-no,Hotel,Hotel,4.8,,,73 246 477,"Iberostar Selection Kantaoui Bay, Jinene El Kantaoui, Hammam Sousse B.P. 243 Tunez, 4089","animation, divertir, animateurs, dido, thalasso, danse, simba, algues, vito, mario",https://www.google.com/maps/place/Iberostar+Selection+Kantaoui+Bay/data=!4m10!3m9!1s0x12fd89a5c331b777:0xf8de86d8e26b76c1!5m2!4m1!1i2!8m2!3d35.9121491!4d10.5801236!16s%2Fg%2F11g7_m11hs!19sChIJd7cxw6WJ_RIRwXZr4tiG3vg?authuser=0&hl=fr&rclk=1
ChIJUzgPUYR1AhMRydfR9quFIUo,Movenpick Sousse,"Chambres et suites elegantes dans complexe chic en bord de plage avec spa de luxe, piscines et 5 restaurants.",False,3906,https://movenpick.accor.com/en/africa/tunisia/sousse/hotel-sousse.html%3Fmerchantid%3Dseo-maps-TN-B4I8%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26utm_content%3DSousse%26y_source%3D1_MTUzNjI2OTktNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Movenpick Sousse (proprietaire),https://www.google.com/maps/contrib/115364484336977391461,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGFAIPWifQMafhxY1EzMHc5rRSKHIVlGMju4EN4o7BPAbIxJKiJoqF6aUEWC76NwDW7FX57_j0-lVKMmUv-pyA7dxFv8M7o56Xn9gRFgKRAttpZrj2tsSueGgrxc8BsbrmAc4rJzU5VxSMU4Iq8ujl-8tLe20JnYlbavzo1A_Mc58kHeazZ3jqR=w408-h272-k-no,Hotel,Hotel,4.3,,,73 202 000,"Movenpick Sousse, Bd du 14 Janvier, Sousse 4039","restauration, serveurs, massage, thalasso, burkini, villa, animation, qualite, iftar, islamophobie",https://www.google.com/maps/place/M%C3%B6venpick+Sousse/data=!4m10!3m9!1s0x13027584510f3853:0x4a2185abf6d1d7c9!5m2!4m1!1i2!8m2!3d35.8425522!4d10.6272781!16s%2Fg%2F1tjj8jfj!19sChIJUzgPUYR1AhMRydfR9quFIUo?authuser=0&hl=fr&rclk=1
ChIJ1ePlD6aJ_RIRQbRs53oXibk,Hotel Sentido Bellevue Park,Chambres raffinees dans elegant complexe balneaire tout compris avec piscines interieure et exterieure.,False,3126,https://www.sentido.com/en/Sentido-Bellevue-Park.html,Hotel Sentido Bellevue Park (proprietaire),https://www.google.com/maps/contrib/100559486130591275365,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE0BFgZP2ozRBF1zb02PTQMQFI-HwflQ5eG7S7udxswQSIaAQOmkJoMjJeJmEfhLYoe5IzBFmE14hTVEYVOdJWtOJZQjG5KAzv0FVJ_C7rec5TbXGcsDlyHOGq3yXO2l9a_nz27t69FJ5-I8gHWC_Qr1zzQrI_347IcQlJbg4YNEHVVCJRdDx93bQ=w428-h240-k-no,Hotel,Hotel,4.6,,,73 246 300,"Hotel Sentido Bellevue Park, Port, Sousse 4089","animation, divertissement, spectacles, disco, animateurs, flechettes, DJ, tir a l'arc, zidane, MIMO",https://www.google.com/maps/place/H%C3%B4tel+Sentido+Bellevue+Park/data=!4m10!3m9!1s0x12fd89a60fe5e3d5:0xb989177ae76cb441!5m2!4m1!1i2!8m2!3d35.9136992!4d10.579784!16s%2Fg%2F1v9gxkfd!19sChIJ1ePlD6aJ_RIRQbRs53oXibk?authuser=0&hl=fr&rclk=1
ChIJB_dJLe2J_RIRdOAkXd2XmNY,Seabel Alhambra Beach Golf & Spa Port El Kantaoui,"Complexe haut de gamme comprenant 7 restaurants et bars, 6 piscines, 17 courts de tennis et spa avec hammam.",False,2335,https://www.seabelhotels.com/fr/seabel-alhambra-beach-golf-spa/acceuil/,Seabel Alhambra Beach Golf & Spa Port El Kantaoui (proprietaire),https://www.google.com/maps/contrib/116511676984917358070,https://lh5.googleusercontent.com/p/AF1QipOtqGJwHAIn5fBcfr-YzoeD6N3mBHzt_BgfsLxd=w408-h257-k-no,Complexe hotelier,"Complexe hotelier, Hotel",4.6,,,73 246 400,"Seabel Alhambra Beach Golf & Spa Port El Kantaoui, El Kantaoui, Sousse 4089","animation, animateurs, spectacles, serveurs, josip broz tito, emma, zen, present, sabotage, top, les",https://www.google.com/maps/place/Seabel+Alhambra+Beach+Golf+%26+Spa+Port+El+Kantaoui/data=!4m10!3m9!1s0x12fd89ed2d49f707:0xd69897dd5d24e074!5m2!4m1!1i2!8m2!3d35.9008624!4d10.5867007!16s%2Fg%2F1tfd9cfb!19sChIJB_dJLe2J_RIRdOAkXd2XmNY?authuser=0&hl=fr&rclk=1
ChIJGymJWQqK_RIRojgs5ucRyDY,Hotel Marhaba Royal Salem,"Logements clairs dans complexe convivial en bord de plage avec restaurant, piscines, club enfants et spa.",False,2205,https://www.royalsalem.tn/,Hotel Marhaba Royal Salem (proprietaire),https://www.google.com/maps/contrib/103136526160093510562,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEqWbUcvfHIa1TE_ACiPeen0RWQ00150t5Jb9d6UBSU1H7L6PKd5xzzDhor27Zdby3V8x7Mh51xhqUusp1KLh8FFUIA6me99xnsXUWZQYI0hM83YOoy__iAkvNfWrY-M_Dj2lXn83Fh5EUElUjsxxZqA1qekYTXS412qow2OXzqiGsPpLPvlCuq=w408-h270-k-no,Hotel,Hotel,4.3,,,73 271 588,"Hotel Marhaba Royal Salem, Marhaba Royal Salem, Boulevard du 14 Janvier, Sousse 4039","animation, divertissement, pourboire, all inclusive, danse, toboggan, zumba, animateurs, flechettes, momos",https://www.google.com/maps/place/Hotel+Marhaba+Royal+Salem/data=!4m10!3m9!1s0x12fd8a0a5989291b:0x36c811e7e62c38a2!5m2!4m1!1i2!8m2!3d35.858572!4d10.6158463!16s%2Fg%2F1vpgzxgr!19sChIJGymJWQqK_RIRojgs5ucRyDY?authuser=0&hl=fr&rclk=1
ChIJy5NJ5Yh1AhMRVS9qKGeOiW0,Hotel Marhaba Beach,"Complexe simple en front de mer avec piscines interieure/exterieures, restaurant buffet et terrains de sport.",False,1667,http://marhababeach.tn/,Hotel Marhaba Beach (proprietaire),https://www.google.com/maps/contrib/101024654895170047676,https://lh5.googleusercontent.com/p/AF1QipOFsnm6okb4g8i56Z7ce5OFHtzLidHCRmbW_6Cf=w408-h306-k-no,Hotel,Hotel,4.2,,,73 240 112,"Hotel Marhaba Beach, Bd du 14 Janvier, Sousse 4039","animation, all inclusive, divertir, jour ferie, pourboires, territoire, massage, hammam, animateurs, maitre nageur",https://www.google.com/maps/place/H%C3%B4tel+Marhaba+Beach/data=!4m10!3m9!1s0x13027588e54993cb:0x6d898e67286a2f55!5m2!4m1!1i2!8m2!3d35.8487989!4d10.6197962!16s%2Fg%2F1tg_090c!19sChIJy5NJ5Yh1AhMRVS9qKGeOiW0?authuser=0&hl=fr&rclk=1
ChIJGymJWQqK_RIR6UVXmST4jQ4,Hotel Marhaba Salem,"Hotel en bord de plage avec piscines en interieur et en exterieur, spa, 4 restaurants et 3 bars.",False,1662,http://www.marhabasalem.tn/,Hotel Marhaba Salem (proprietaire),https://www.google.com/maps/contrib/108481785392645967866,https://lh5.googleusercontent.com/p/AF1QipONhIid2uUzfPnS7E37JGJUhB-hdxHF2rqElTvA=w426-h240-k-no,Hotel,Hotel,4.4,,,73 240 966,"Hotel Marhaba Salem, Boulevard 14 Janvier 4039 Sousse, Hammam Sousse 4039","animation, divertir, danse, animateurs, zumba, momos, disco, flechettes, tir a l'arc, aquagym",https://www.google.com/maps/place/Hotel+Marhaba+Salem/data=!4m10!3m9!1s0x12fd8a0a5989291b:0xe8df824995745e9!5m2!4m1!1i2!8m2!3d35.8594365!4d10.6164423!16s%2Fg%2F1vp5_3hj!19sChIJGymJWQqK_RIR6UVXmST4jQ4?authuser=0&hl=fr&rclk=1
ChIJ7b21j5OJ_RIRYZV1-LCC8yA,Hotel Marhaba Palace,"Hotel raffine avec acces a la plage, salle de sport, 4 bars, une discotheque et un petit-dejeuner gratuit.",False,1588,http://marhabapalace.tn/,Hotel Marhaba Palace (proprietaire),https://www.google.com/maps/contrib/107095216000784294387,https://lh5.googleusercontent.com/p/AF1QipOvko8sKKUTYL5OoEYpa_DIA-Ts21E3I9ud3397=w408-h255-k-no,Hotel,"Hotel, Salle de gym, Spa",4.2,,,73 347 076,"Hotel Marhaba Palace, Port, 4089","plage, animation, pourboires, spa, divertissements, serveurs, all inclusive, port, hammam, chameau",https://www.google.com/maps/place/H%C3%B4tel+Marhaba+Palace/data=!4m10!3m9!1s0x12fd89938fb5bded:0x20f382b0f8759561!5m2!4m1!1i2!8m2!3d35.8965006!4d10.5935854!16s%2Fg%2F1ttthym6!19sChIJ7b21j5OJ_RIRYZV1-LCC8yA?authuser=0&hl=fr&rclk=1
