place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJf_UBegJi_RIRD54Ic8-wk9o,Cafe Sidi Bouhdid,,False,1319,http://www.sidibouhdid.com/,Cafe Sidi Bouhdid (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP2VrkY4ID0GfCKglCm1DnIRCfMMGRMlY32iu2M=w426-h240-k-no,Cafe,Cafe,4.1,06:00-00:00,,72 280 040,"9JV6+RPH Cafe Sidi Bouhdid, Rue Sidi Abdel Kader, Hammamet 8050","mer, vue, coucher de soleil, chicha, serveur, the a la menthe, terrasse, crepes, pignons, fort",https://www.google.com/maps/place/Caf%C3%A9+Sidi+Bouhdid/data=!4m7!3m6!1s0x12fd62027a01f57f:0xda93b0cf73089e0f!8m2!3d36.3945591!4d10.6118448!16s%2Fg%2F1tfdv4jd!19sChIJf_UBegJi_RIRD54Ic8-wk9o?authuser=0&hl=fr&rclk=1
ChIJuXIO2v5h_RIRsi6NGHkEmno,Le Petit Pecheur 2 Hammamet,,False,654,https://www.facebook.com/lepetitpecheur2/,Le Petit Pecheur 2 Hammamet (proprietaire),https://www.google.com/maps/contrib/118011807798398734191,https://lh5.googleusercontent.com/p/AF1QipMHDSNR5Nb3JNwIpp-wswPwLf2vhWdGgbteTTo0=w426-h240-k-no,Restaurant tunisien,"Restaurant tunisien, Restaurant",4.1,11:30-01:00,,24 477 204,"Le Petit Pecheur 2 Hammamet, Ave. de la Republique, Hammamet 8050","fruits de mer, service, qualite, soupe, spaghetti, entree, serveur, couscous, chats, grillades",https://www.google.com/maps/place/Le+Petit+P%C3%AAcheur+2+Hammamet/data=!4m7!3m6!1s0x12fd61feda0e72b9:0x7a9a0479188d2eb2!8m2!3d36.3985194!4d10.6161122!16s%2Fg%2F11b6ytd5d3!19sChIJuXIO2v5h_RIRsi6NGHkEmno?authuser=0&hl=fr&rclk=1
ChIJQ9tBnvhh_RIRriZVJmta8sE,Le Barberousse,,False,578,https://le-barberousse-restaurant.business.site/,Le Barberousse (proprietaire),https://www.google.com/maps/contrib/114218939043506611532,https://lh5.googleusercontent.com/p/AF1QipNcEpYhb35Qq5go_Bm7C2gQ3z3iW_b8VR18YVck=w408-h306-k-no,Restaurant,Restaurant,4,12:00-00:00,,72 280 037,"Le Barberousse, ville Arabe Hammamet Hammamet, 8050","vue, mer, service, couscous, entree, plats, cuisine, escaliers, cuite, qualite",https://www.google.com/maps/place/Le+Barberousse/data=!4m7!3m6!1s0x12fd61f89e41db43:0xc1f25a6b265526ae!8m2!3d36.3949089!4d10.6127299!16s%2Fg%2F1q5bl3h9j!19sChIJQ9tBnvhh_RIRriZVJmta8sE?authuser=0&hl=fr&rclk=1
ChIJoz9R7f1h_RIRTrql8WgnmXE,mT`m ltHryr- Ettahrir Restaurant,,False,406,,mT`m ltHryr- Ettahrir Restaurant (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNa08bMlMZdPGVDESF4RwUfuz6TOmAxfX9kQF-R=w408-h306-k-no,Restaurant,Restaurant,4.4,12:00-00:00,,23 196 530,"CJ29+CH9 mT`m ltHryr- Ettahrir Restaurant, Avenue de la Liberation, Hammamet","tunisienne, poisson, couscous, plats, serveurs, salade, service, grillade, agneau, entrees",https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%AA%D8%AD%D8%B1%D9%8A%D8%B1-+Ettahrir+Restaurant%E2%80%AD/data=!4m7!3m6!1s0x12fd61fded513fa3:0x71992768f1a5ba4e!8m2!3d36.4010317!4d10.6189723!16s%2Fg%2F1q62kk3vt!19sChIJoz9R7f1h_RIRTrql8WgnmXE?authuser=0&hl=fr&rclk=1
ChIJG_-AYINh_RIRiU7gg8lSwNQ,La Bella Marina,,False,282,,La Bella Marina (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNc2lGq4NzrSUTjZ6jY1WMyovv1xWyAAqMe_6ur=w408-h306-k-no,Restaurant,Restaurant,4.3,12:00-04:00,,98 351 491,"CH4H+2H8 La Bella Marina, Hammamet Sud","hotel, produits de la mer, vin, steak, couscous, bouteille, langouste, serveurs, qualite, fruits de mer",https://www.google.com/maps/place/La+Bella+Marina/data=!4m7!3m6!1s0x12fd61836080ff1b:0xd4c052c983e04e89!8m2!3d36.4050355!4d10.5789607!16s%2Fg%2F11cn8sbrgx!19sChIJG_-AYINh_RIRiU7gg8lSwNQ?authuser=0&hl=fr&rclk=1
ChIJh-FucpVh_RIR-TqpmEvzx1I,Yuman,,False,263,,Yuman (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNxQFcNHVbMD5WRPmXS_mfOQTg9s1dI-UsMNdQc=w408-h544-k-no,Restaurant,Restaurant,4.5,07:00-01:00,,20 033 602,"9JW7+76W Yuman, Ave. de la Republique, Hammamet","mer, vue, couscous, terrasse, poulpe, lieu de tournage, service, spaghetti, manga, etage",https://www.google.com/maps/place/Yuman/data=!4m7!3m6!1s0x12fd6195726ee187:0x52c7f34b98a93af9!8m2!3d36.3957496!4d10.613092!16s%2Fg%2F11q4dlnr7y!19sChIJh-FucpVh_RIR-TqpmEvzx1I?authuser=0&hl=fr&rclk=1
ChIJR8T-wPhh_RIRy6SSjANbpEU,Restaurant lella Fatma,,False,243,,Restaurant lella Fatma (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipORTCUOAYSWfsNKMTTu8F1cVAIhW3WgjFqGgLC1=w408-h306-k-no,Restaurant,Restaurant,4.5,12:00-23:00,,72 283 600,"9JW7+F4H Restaurant lella Fatma, Hammamet","prix, couscous, tunisien, serveur, agneau, atmosphere, mer, vin, experience, succulent",https://www.google.com/maps/place/Restaurant+lella+Fatma/data=!4m7!3m6!1s0x12fd61f8c0fec447:0x45a45b038c92a4cb!8m2!3d36.3961943!4d10.6128615!16s%2Fg%2F11fx8cctrs!19sChIJR8T-wPhh_RIRy6SSjANbpEU?authuser=0&hl=fr&rclk=1
ChIJb4grhlBh_RIRleZusq6V66c,Berber Soul,,False,211,,Berber Soul (proprietaire),https://www.google.com/maps/contrib/111813279038016109917,https://lh5.googleusercontent.com/p/AF1QipM158qns0cOadR8s834XK7x9UVoeooGwh3QDRxh=w408-h306-k-no,Restaurant gastronomique,Restaurant gastronomique,4.3,08:00-00:00,,52 396 777,"Berber Soul, Hammamet 8050","prix, serveur, coucher de soleil, mer, terrasse, vue, petit dejeuner, touristes, snack, alcool",https://www.google.com/maps/place/Berber+Soul/data=!4m7!3m6!1s0x12fd6150862b886f:0xa7eb95aeb26ee695!8m2!3d36.3953125!4d10.6140625!16s%2Fg%2F11t5d5bc8x!19sChIJb4grhlBh_RIRleZusq6V66c?authuser=0&hl=fr&rclk=1
ChIJk6itR3xh_RIRrxJ6gZAgZqU,Restaurant Condor,,False,200,https://best--restaurants.blogspot.com/,Restaurant Condor (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP3DTMTeW7vtiSs9EBNfpFYW5czaOtHURer3FG1=w408-h544-k-no,Restaurant tunisien,Restaurant tunisien,4.1,12:30-02:00,,98 698 641,"CH28+WWV Restaurant Condor, Av moncef bey, Hammamet 8050","prix, plats, qualite, vins, terrasse, la musique, nuit, atmosphere",https://www.google.com/maps/place/Restaurant+Condor/data=!4m7!3m6!1s0x12fd617c47ada893:0xa5662090817a12af!8m2!3d36.4023685!4d10.5672865!16s%2Fg%2F1hd_2_fzb!19sChIJk6itR3xh_RIRrxJ6gZAgZqU?authuser=0&hl=fr&rclk=1
ChIJ7WHQAgKeAhMRIaGd6CyiiEE,Two M Pizzeria,,False,184,,Two M Pizzeria (proprietaire),https://www.google.com/maps/contrib/113247650230314623173,https://lh5.googleusercontent.com/p/AF1QipNB9sa948ZXCAszC3uo9pWWtM-a-m84lbit_HeB=w408-h559-k-no,Restaurant,Restaurant,4.3,09:00-00:00,mercredi,50 503 040,"Two M Pizzeria, Rue Taieb El Azzabi, Hammamet 8050","pizza, sandwichs, prix, ingredients, cornet, qualite",https://www.google.com/maps/place/Two+M+Pizzeria/data=!4m7!3m6!1s0x13029e0202d061ed:0x4188a22ce89da121!8m2!3d36.3995825!4d10.6202977!16s%2Fg%2F1q62gc9vg!19sChIJ7WHQAgKeAhMRIaGd6CyiiEE?authuser=0&hl=fr&rclk=1
