place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJzV0eQs-14hIRr_w6avHo0wE,Four Seasons Hotels and Resorts,"Logements elegants dans hotel haut de gamme en bord de golfe avec spa, piscine semi-couverte et 3 restaurants.",False,1249,https://www.fourseasons.com/tunis/%3Futm_source%3Dgoogle%26utm_medium%3Dorganicsearch%26utm_campaign%3Dtor-tsh-hre-mid-seo-na%26utm_content%3Dna-na%26utm_term%3Dna,Four Seasons Hotels and Resorts (proprietaire),https://www.google.com/maps/contrib/109209668988140684852,https://lh5.googleusercontent.com/p/AF1QipP1C-qrXgAlGVq0NbzureelQDK0i5D7HQBskKHO=w408-h248-k-no,Hotel,"Hotel, Residence hoteliere, Complexe hotelier, Spa, Lieu de mariage",4.5,,,31 260 000,"Four Seasons Hotels and Resorts, 1057 La Marsa, Gammarth 1057","spa, plage, diner, 5 etoiles, architecture, cadre, professionnalisme, salle de sport, sublime, haut de gamme",https://www.google.com/maps/place/Four+Seasons+Hotels+and+Resorts/data=!4m10!3m9!1s0x12e2b5cf421e5dcd:0x1d3e8f16a3afcaf!5m2!4m1!1i2!8m2!3d36.9203157!4d10.2941119!16s%2Fg%2F11c5h2cmrd!19sChIJzV0eQs-14hIRr_w6avHo0wE?authuser=0&hl=fr&rclk=1
ChIJcxFbJFm04hIRKIVoVXZMi5Y,Movenpick Gammarth,Chambres et suites haut de gamme dans hotel cotier offrant 2 piscines et des restaurants avec vue sur la mer.,False,1210,https://movenpick.accor.com/en/africa/tunisia/tunis/hotel-tunis-gammarth.html%3Fmerchantid%3Dseo-maps-TN-B4I5%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26utm_content%3DGammarth-Tunis%26y_source%3D1_MTUzNjI2OTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Movenpick Gammarth (proprietaire),https://www.google.com/maps/contrib/115098570417696325478,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHizk01eG3NtCzvK4ieAjsQmviCZdvTFgzvDCz-noP-xQwcCqZkFvyY-I7sX24J0KRAdwdQj-HRPe49o88widPADuLbThQ60Cd-7ZadsZKsWNNRPi8JuxMTJpUMTzG3fjCaH4cXAwjRxx3VB99jHTzOAGIWpZcshxxwNxFPR-mBd_TdJQG1bcw=w408-h271-k-no,Hotel,Hotel,4.1,,,71 741 444,"B P 36, Movenpick Gammarth, Av. Taieb Mhiri, La Marsa 2078","spa, piscine, vue, 5 etoiles, sourire, serveur, pays, brunch, hammam, catastrophique",https://www.google.com/maps/place/M%C3%B6venpick+Gammarth/data=!4m10!3m9!1s0x12e2b459245b1173:0x968b4c7655688528!5m2!4m1!1i2!8m2!3d36.8948848!4d10.3209641!16s%2Fg%2F11bw470w57!19sChIJcxFbJFm04hIRKIVoVXZMi5Y?authuser=0&hl=fr&rclk=1
ChIJ6SND70604hIRzsi7WSOXWIY,GOLDEN CARTHAGE TUNIS,"Hotel haut de gamme avec 3 restaurants, 3 piscines exterieures et spa. Petit-dejeuner/parking/Wi-Fi gratuits.",False,1184,http://www.goldencarthage.com/,GOLDEN CARTHAGE TUNIS (proprietaire),https://www.google.com/maps/contrib/101405992254211187110,https://lh5.googleusercontent.com/p/AF1QipPWY2ESUtNoNDpI9o899iaf1LK4OEyuFNdWKcwg=w470-h240-k-no,Hotel,Hotel,4,,,71 913 000,"GOLDEN CARTHAGE TUNIS, Avenue de la Promenade les cotes de CARTHAGE, Marsa 2078","spa, appartement, mer, renovation, hamam, luxe, buffet, region, italien, aeroport",https://www.google.com/maps/place/GOLDEN+CARTHAGE+TUNIS/data=!4m10!3m9!1s0x12e2b44eef4323e9:0x8658972359bbc8ce!5m2!4m1!1i2!8m2!3d36.9053783!4d10.3124536!16s%2Fg%2F1tdssp4h!19sChIJ6SND70604hIRzsi7WSOXWIY?authuser=0&hl=fr&rclk=1
ChIJJX0j8Mm04hIRsi-Anu4v1is,Villa Didon Hotel & Spa,"Chambres et suites elegantes (certaines avec vue sur le golfe), restaurant de luxe, 2 bars branches et spa.",False,686,http://www.villadidoncarthage.com/,Villa Didon Hotel & Spa (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHAPPtRT6QSwccZI0z431vHf-T0On0EaMKff3eRJS24hJOTdKNSX__wu2WGij4RzVG6ibD0GdgRM2VyxsuNaAnVcmKhHDntf7gyhRUaly-GzIWm1TP2P2fF_VpT3EGTFJr8llnyJ6ts-5G6Hj6pITLhueLW3nfiXo1b9gqjKv9vRXSE_CW4x9nSAA=w408-h305-k-no,Hotel,Hotel,4.1,,,31 323 000,"V82G+X35 Villa Didon Hotel & Spa, Byrsa, Rue Mendes France, 2016","vue, diner, mer, cocktails, terrasse, cuisine, service, serveur, entree, pates",https://www.google.com/maps/place/Villa+Didon+H%C3%B4tel+%26+Spa/data=!4m10!3m9!1s0x12e2b4c9f0237d25:0x2bd62fee9e802fb2!5m2!4m1!1i2!8m2!3d36.8523875!4d10.3252337!16s%2Fg%2F1tf895st!19sChIJJX0j8Mm04hIRsi-Anu4v1is?authuser=0&hl=fr&rclk=1
ChIJWSvpPZ604hIRMokhBwNlc5Y,La Villa Bleue,"Hebergements chics dans hotel haut de gamme avec vue sur le golfe, piscine exterieure et restaurant raffine.",False,619,http://www.lavillableuesidibousaid.com/,La Villa Bleue (proprietaire),https://www.google.com/maps/contrib/117043383151301524028,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHnth-R51bEjotK1doyee0XiUMhLx-nLfiabzXtSGp2NquMXklemFhc3z34jQ28yhyFqe1eoUuYl_T9_Yk_OjVCPgYKvCKvxytzchJT41fAak2MZ2KrCLfe6Q22CmFgRS2s_E0Fq_jtYA2FBikP-61aRP3tC9305gjXxeg_MnPth6a8yior9xo=w408-h306-k-no,Hotel,Hotel,4.4,,,71 742 000,"La Villa Bleue, 68 rue Kennedy, Sidi Bou Said 2026","vue, cadre, experience, touristique, est, repas, spa, serveurs, arnaque, magique",https://www.google.com/maps/place/La+Villa+Bleue/data=!4m10!3m9!1s0x12e2b49e3de92b59:0x9673650307218932!5m2!4m1!1i2!8m2!3d36.8700276!4d10.3523524!16s%2Fg%2F11b63crxs1!19sChIJWSvpPZ604hIRMokhBwNlc5Y?authuser=0&hl=fr&rclk=1
ChIJPWQ694u04hIREeu0btlhr5U,Dar El Marsa Hotel & Spa - Hotel 5 Etoiles,"Logements clairs dans hotel moderne avec tables en terrasse, piscine sur toit, spa et vue sur mer.",False,428,https://www.darelmarsa.com/%3Futm_source%3Dlocal%26utm_medium%3Dorganic%26utm_campaign%3DGMB,Dar El Marsa Hotel & Spa - Hotel 5 Etoiles (proprietaire),https://www.google.com/maps/contrib/102202250391152913376,https://lh5.googleusercontent.com/p/AF1QipPJurAbCkE8jFlh5Ofrma87YmxH2d6W-LBbk2DL=w408-h271-k-no,Hotel,"Hotel, Restaurant, Seminaire, Hotel bien-etre",4,,,71 728 000,"Dar El Marsa Hotel & Spa - Hotel 5 Etoiles, 75 Av. Habib Bourguiba, Marsa 2078","toit, terrasse, qualite, etoiles, vue sur la mer, massages, alcool, plats, moderne, hammam",https://www.google.com/maps/place/Dar+El+Marsa+Hotel+%26+Spa+-+H%C3%B4tel+5+Etoiles/data=!4m10!3m9!1s0x12e2b48bf73a643d:0x95af61d96eb4eb11!5m2!4m1!1i2!8m2!3d36.8841858!4d10.3320732!16s%2Fg%2F1q5bm8mt3!19sChIJPWQ694u04hIREeu0btlhr5U?authuser=0&hl=fr&rclk=1
ChIJW9exUMRL_RIRcqkgdXI6GdI,Novotel Tunis Lac,"Chambres modernes et chaleureuses dans hotel haut de gamme avec piscine exterieure, 3 restaurants et bar.",False,404,https://all.accor.com/lien_externe.svlt%3Fgoto%3Dfiche_hotel%26code_hotel%3DA9E9%26merchantid%3Dseo-maps-TN-A9E9%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26y_source%3D1_MjU3NzIzMTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Novotel Tunis Lac (proprietaire),https://www.google.com/maps/contrib/101489940652754655207,https://lh5.googleusercontent.com/p/AF1QipPCrWRC0PDPNA1War29G3gW8vK6XlXMwRl2Ryi4=w408-h272-k-no,Hotel,Hotel,4.7,,,31 329 329,"Novotel Tunis Lac, Cite les pins, Rue de la Feuille d'Erable, Tunis 1053","chambre, service, experience, confort, diner, aeroport, salle de sport, bemol, menu, sourire",https://www.google.com/maps/place/Novotel+Tunis+Lac/data=!4m10!3m9!1s0x12fd4bc450b1d75b:0xd2193a727520a972!5m2!4m1!1i2!8m2!3d36.8448114!4d10.281568!16s%2Fg%2F11rssmxjcb!19sChIJW9exUMRL_RIRcqkgdXI6GdI?authuser=0&hl=fr&rclk=1
ChIJbaXgS5u04hIRyi8nkAPDzLM,Hotel Sidi Bou Said,,False,351,https://m.facebook.com/pages/Hotel-Sidi-Dhrif/288698547927356,Hotel Sidi Bou Said (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGE9IespP9yjAanYSvyvUdJ0ApVB46hRCs753Z_bJt47PJ37tiHLVpG5T6l87qowm6b3nUZpp_L5TdK2CG7gbseQS-ujNfTOKT8hT-xb5rVgsMa59_sFFRnQ4tjiPHU0gZNU5KPnouwrwns9j3yu-HvbIwnkEs1K9LObKk0LUOQUGH9gkzYtzJr=w408-h306-k-no,Hotel,Hotel,4,,,71 740 411,"V8GV+W6F Hotel Sidi Bou Said, Avenue, Site archeologique de Carthage","vue, service, piscine, prix, bar, coucher de soleil, confortable, biere, clients, qualite",https://www.google.com/maps/place/H%C3%B4tel+Sidi+Bou+Said/data=!4m10!3m9!1s0x12e2b49b4be0a56d:0xb3ccc30390272fca!5m2!4m1!1i2!8m2!3d36.8773117!4d10.3430443!16s%2Fg%2F12cp1cblp!19sChIJbaXgS5u04hIRyi8nkAPDzLM?authuser=0&hl=fr&rclk=1
ChIJk48DAp604hIRSExAT5OOzYs,Hotel Dar Said,"Chambres et suites claires dans hotel raffine avec vue sur golfe, restaurant haut de gamme et piscine.",False,168,,Hotel Dar Said (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEzVmIt8qhvHN3j2f6rlqKoBboRNjIqBpl6udnlKnRvx52CCHa4wyhQZF421fo7KRHTDbq5t9lfXYF3jzmSlp8EjDJ8-s9nWia87UZo446FApDyrWvu1VB3E7hYBkUPuaq2ieSR7QdiasC19OIHB4NUfolhjXp2v9GLhMGwbzpIGfSCAr4eI6g2iQ=w408-h408-k-no,Hotel,Hotel,4.4,,,71 729 666,"Hotel Dar Said, Rue Toumi 2026, Carthage","piscine, jardin, chambre, vue, mer, service, coeur, terrasse, village, hammam",https://www.google.com/maps/place/H%C3%B4tel+Dar+Said/data=!4m10!3m9!1s0x12e2b49e02038f93:0x8bcd8e934f404c48!5m2!4m1!1i2!8m2!3d36.8711347!4d10.3492197!16s%2Fg%2F1tgwjxh6!19sChIJk48DAp604hIRSExAT5OOzYs?authuser=0&hl=fr&rclk=1
ChIJV-NyG3iz4hIRfpFqG2xHNrI,Maison Dedine - Small Luxury Hotels of the World,,False,113,http://www.maisondedine.com/,Maison Dedine - Small Luxury Hotels of the World (proprietaire),https://www.google.com/maps/contrib/106694610510084575301,https://lh5.googleusercontent.com/p/AF1QipP7O0AtgtDtGtlm85nB6G5ZsrQsKr6TiRsJ42p9=w408-h277-k-no,Hotel,Hotel,4.8,,,23 645 000,"Maison Dedine - Small Luxury Hotels of the World, 3 Avenue John Kennedy, SIDI BOU SAID 2026","equipe, vue, experience, chambres, gentillesse, diner, havre, bienveillance, paix, proprete",https://www.google.com/maps/place/Maison+Dedine+-+Small+Luxury+Hotels+of+the+World/data=!4m10!3m9!1s0x12e2b3781b72e357:0xb236476c1b6a917e!5m2!4m1!1i2!8m2!3d36.8686032!4d10.3537912!16s%2Fg%2F11fnvbwcvs!19sChIJV-NyG3iz4hIRfpFqG2xHNrI?authuser=0&hl=fr&rclk=1
