place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ3f____OHVhIRqL79-G_DNfY,Sahara Douz,"Elegant hotel aux allures de chateau avec restaurant, bars, piscines interieure et exterieure, spa.",False,951,http://www.saharadouz.com/,Sahara Douz (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEWniRiM7Jjk6xb9NylXlLGKDu8LhNlmako8SN3mDj6hq5XzEFffukyYw5h4F6jJdW2namUPIh-XdGrye6OeZ-oIUkulx2sLi-JryT_tH1z2l-n9YsySqstWwwYwJ5BADAycjTHkCEoZBmmfyIH-CYmlNeoQjzz1ZwK0k-5kbXeIB-wdSr1JoceZg=w408-h271-k-no,Hotel,Hotel,4,,,75 470 864,"Sahara Douz, Zone Touristique De Douz, Douz, 4260, 4260","piscine, desert, chambre, buffet, boissons, bar, excursion, chicha, oasis, chameau",https://www.google.com/maps/place/Sahara+Douz/data=!4m10!3m9!1s0x125687f3ffffffdd:0xf635c36ff8fdbea8!5m2!4m1!1i2!8m2!3d33.4353323!4d9.0200085!16s%2Fg%2F1pxxrv1m1!19sChIJ3f____OHVhIRqL79-G_DNfY?authuser=0&hl=fr&rclk=1
ChIJu0qVf2M0_RIRHNhBaUUs21A,Novotel Tunis,"Hotel haut de gamme avec piscine exterieure, spa, restaurant, 2 bars et centre de remise en forme.",False,806,https://all.accor.com/lien_externe.svlt%3Fgoto%3Dfiche_hotel%26code_hotel%3D6145%26merchantid%3Dseo-maps-TN-6145%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26y_source%3D1_MTUzNjExMTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Novotel Tunis (proprietaire),https://www.google.com/maps/contrib/113415323006757029631,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHN1z9g4JDJT0_n8gp_tuCQl7ffw9jvbtECOG-TKJyfTR-CzkbX_6fEfXIX6dLbMYZDt73s0EZQB2mTkDEBR9HkGmUkP9BMI-VFY0W2lnToImTkarw7vjse0ArTE7EM4niEwkiMHHLjuZoGTsElVXtwxKjM4Ds7OcWiciM3kpXraZtmqQ2kB1FhTg=w408-h272-k-no,Hotel,Hotel,4.1,,,71 830 500,"Novotel Tunis, Ave Mohamed V, Tunis 1002","chambre, bar, piscine, rooftop, aeroport, buffet, salle de sport, centre ville, terrasse, diner",https://www.google.com/maps/place/Novotel+Tunis/data=!4m10!3m9!1s0x12fd34637f954abb:0x50db2c456941d81c!5m2!4m1!1i2!8m2!3d36.8114844!4d10.1840068!16s%2Fg%2F1hc4wjb0d!19sChIJu0qVf2M0_RIRHNhBaUUs21A?authuser=0&hl=fr&rclk=1
ChIJra4_4GU0_RIR9hL-N6ay5rY,Laico Tunis Spa & Conference Center,"Hotel haut de gamme avec piscines en interieur et en exterieur, restaurants, salon a chicha et spa.",False,540,http://www.laicotunis.com/fr,Laico Tunis Spa & Conference Center (proprietaire),https://www.google.com/maps/contrib/110159982812168240309,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGcGu7MpMIPNX9pOVU4JlfEt2v1qkfPEY_PuUSbwAhghSIELMZixnbhrfcKCRqCqwSK9Xv44ibGK9s0B4oQ4a891UALW0XxzZhVlu94S6bdkoRMRE-mmw7de49xHjWNeFd-YnFakN3HSgB04Vh1l-KQLuA3Um5rLE_XFdcigli_5bqlzCkyGmhg=w408-h254-k-no,Hotel,Hotel,4.3,,,70 244 420,"0,44, Laico Tunis Spa & Conference Center, Place des Droits de L'Homme, km) 1001 Av. Mohamed 5, Tunis 1001","nettoyage, piscine, etoiles, room service, professionnelle, luxueux, salle de reunion, capitale, organisation, renovation",https://www.google.com/maps/place/Laico+Tunis+Spa+%26+Conference+Center/data=!4m10!3m9!1s0x12fd3465e03faead:0xb6e6b2a637fe12f6!5m2!4m1!1i2!8m2!3d36.8077208!4d10.1870448!16s%2Fg%2F11f4wv6_f2!19sChIJra4_4GU0_RIR9hL-N6ay5rY?authuser=0&hl=fr&rclk=1
ChIJu8Grxm00_RIRnFMu-7R9BrE,Laico Hotel Tunis,"Hebergements raffines dans hotel chic avec 2 restaurants, spa et piscines interieure et exterieure.",False,484,http://www.laicohotels.com/,Laico Hotel Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP1cPLszVqrOXz15qgTrExtXCg23U09c6-7ZU6v=w426-h240-k-no,Hotel,"Hotel, Hebergement",4.3,,,71 350 355,"R54P+XP4 Laico Hotel Tunis, Rue Chabane El Bhouri, Tunis 1080","service, espace, musique, experience, piscine, chambres, experimenter, prix, conferences, centre ville",https://www.google.com/maps/place/Laico+H%C3%B4tel+Tunis/data=!4m10!3m9!1s0x12fd346dc6abc1bb:0xb1067db4fb2e539c!5m2!4m1!1i2!8m2!3d36.8073893!4d10.1868291!16s%2Fg%2F11xnt686m!19sChIJu8Grxm00_RIRnFMu-7R9BrE?authuser=0&hl=fr&rclk=1
ChIJq6qq6sg0_RIRc3FI_rDFJ_o,Tunis Marriott Hotel,"Hotel haut de gamme avec 2 restaurants raffines, un salon d'accueil et une piscine sur le toit bordee d'un bar.",False,326,https://www.marriott.com/en-us/hotels/tunmc-tunis-marriott-hotel/overview/%3Fscid%3Df2ae0541-1279-4f24-b197-a979c79310b0,Tunis Marriott Hotel (proprietaire),https://www.google.com/maps/contrib/101484772929140016302,https://lh5.googleusercontent.com/p/AF1QipMNodE8XP6EecKYVCfxvOK2lHPfHluFN6H14UCS=w426-h240-k-no,Hotel,"Hotel, Service d'organisation d'evenements professionnels, Lieu de mariage",4.2,,,31 220 022,"Tunis Marriott Hotel, Rue Zohra Faiza, Yasmine Tower, Immeuble, Tunis 1082","aeroport, bar, experience, diner, business, toit, buffet, SPA, vue, je",https://www.google.com/maps/place/Tunis+Marriott+Hotel/data=!4m10!3m9!1s0x12fd34c8eaaaaaab:0xfa27c5b0fe487173!5m2!4m1!1i2!8m2!3d36.8473571!4d10.2011188!16s%2Fg%2F11c2pm28w3!19sChIJq6qq6sg0_RIRc3FI_rDFJ_o?authuser=0&hl=fr&rclk=1
ChIJPf-ZIv01_RIRBcMw9jT43Oc,DownTown Tunis Hotel,,False,172,https://downtowntunisia.com/,DownTown Tunis Hotel (proprietaire),https://www.google.com/maps/contrib/100977686245327115219,https://lh5.googleusercontent.com/p/AF1QipN75h2fgmWzHkWKMu-ZVy-2AOJBALai2FBeG_3h=w426-h240-k-no,Hotel,"Hotel, Centre d'affaires",4.2,,,71 790 216,"DownTown Tunis Hotel, 13 Rue de Medine, Tunis 1002","service, chambres, prix, voyage, aeroport, parking, mosquee, salle de reunion, travailleurs, refrigerateur",https://www.google.com/maps/place/DownTown+Tunis+Hotel/data=!4m10!3m9!1s0x12fd35fd2299ff3d:0xe7dcf834f630c305!5m2!4m1!1i2!8m2!3d36.8203316!4d10.1801214!16s%2Fg%2F11h48kzwdd!19sChIJPf-ZIv01_RIRBcMw9jT43Oc?authuser=0&hl=fr&rclk=1
ChIJk9RMrYsz_RIRB3DlmtrP0c8,Dar Ya - Hostel,"Hebergements sobres dans auberge de jeunesse coloree avec petit-dejeuner, Wi-Fi, cuisine et toit-terrasse.",False,154,https://www.facebook.com/DarYaTunis/,Dar Ya - Hostel (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG66HwhBKLVbNd7xnrbrXt2iggL8QO08RkLVE3SOgnzsS9SW06V1e8jrUvDS-Y956pDW-_2JvmHXjF-7hh3cqri9Y7ZLWHSMv-c7Mif-Wr65IhSvzrjciKa1wDa_hef1wTF2ZwQixkpsA7RMaab-wCcof7fI4j26pHjtVU7X_19xsMwM2IQTLbF=w408-h612-k-no,Hebergement,Hebergement,4.4,,,22 880 044,"Dar Ya - Hostel, 6 Rue de la Carriere, Tunis 1006","hotel, chambres, coeur, famille, salle de bain, climatisation, prix, sourire, kasbah, patisseries",https://www.google.com/maps/place/Dar+Ya+-+Hostel/data=!4m10!3m9!1s0x12fd338bad4cd493:0xcfd1cfda9ae57007!5m2!4m1!1i2!8m2!3d36.8004619!4d10.1674853!16s%2Fg%2F11b7vwqqkq!19sChIJk9RMrYsz_RIRB3DlmtrP0c8?authuser=0&hl=fr&rclk=1
ChIJpVm30Isz_RIRZnJIPZqHju0,Dar Ben Gacem,"Maison d'hotes haut de gamme avec logements richement decores, petit-dejeuner gratuit et toit-terrasse.",False,130,http://www.darbengacem.om/,Dar Ben Gacem (proprietaire),https://www.google.com/maps/contrib/116486323777614233558,https://lh5.googleusercontent.com/p/AF1QipOXgUL6rse0aLuWkc3eHG17TK8_vVzg6Sfr0aDy=w408-h271-k-no,Hotel,Hotel,4.8,,,71 563 742,"Dar Ben Gacem, 38 Rue du Pacha, Tunis 1006","histoire, experience, chambre, service, musee, porte, coeur, demeure, wifi, confortable",https://www.google.com/maps/place/Dar+Ben+Gacem/data=!4m10!3m9!1s0x12fd338bd0b759a5:0xed8e879a3d487266!5m2!4m1!1i2!8m2!3d36.800702!4d10.1677891!16s%2Fg%2F12vr9yqdj!19sChIJpVm30Isz_RIRZnJIPZqHju0?authuser=0&hl=fr&rclk=1
ChIJ0ZwU0lY1_RIRloRUsmeV2rw,Nomads Hostel Tunisia,,False,105,,Nomads Hostel Tunisia (proprietaire),https://www.google.com/maps/contrib/102693035346969713742,https://lh5.googleusercontent.com/p/AF1QipMtFukq0s2499km38f03lgrZdW8SWXzE17rxjiB=w408-h724-k-no,Hostel,Hostel,4.7,,,92 023 033,"Nomads Hostel Tunisia, 10 Rue Ali Al Gherab, Tunis 1089","aeroport, voyage, experience, peuple, droit de propriete, equipe, hospitalite, culture, proprete",https://www.google.com/maps/place/Nomads+Hostel+Tunisia/data=!4m10!3m9!1s0x12fd3556d2149cd1:0xbcda9567b2548496!5m2!4m1!1i2!8m2!3d36.7865154!4d10.1715508!16s%2Fg%2F11kb3q7m44!19sChIJ0ZwU0lY1_RIRloRUsmeV2rw?authuser=0&hl=fr&rclk=1
ChIJhSVO-28z_RIR84SbMA4oj-s,Dar Ben Gacem -Kahia-,,False,63,http://www.darbengacem.com/,Dar Ben Gacem -Kahia- (proprietaire),https://www.google.com/maps/contrib/103399539497736049390,https://lh5.googleusercontent.com/p/AF1QipOOV1QFV-M6U007zYuBv3TnLkpfaGV_KYh7IZ8G=w408-h408-k-no,Hotel,Hotel,4.8,,,71 573 086,"Dar Ben Gacem -Kahia-, 16 Rue El Kahia, Tunis 1006","terrasse, chambre, batiment, confortable, gemme, histoire, musee, literie, renovation, equipe",https://www.google.com/maps/place/Dar+Ben+Gacem+-Kahia-/data=!4m10!3m9!1s0x12fd336ffb4e2585:0xeb8f280e309b84f3!5m2!4m1!1i2!8m2!3d36.8026438!4d10.1672479!16s%2Fg%2F11h7g4vyfk!19sChIJhSVO-28z_RIR84SbMA4oj-s?authuser=0&hl=fr&rclk=1
