place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJV1o7J0M1_RIR9Bpnx7t7sVI,Movenpick Hotel Du Lac Tunis,"Hotel haut de gamme offrant chambres modernes, certaines avec vue sur le lac, restaurants, spa et piscine.",False,2290,https://movenpick.accor.com/en/africa/tunisia/tunis/hotel-du-lac-tunis.html%3Fmerchantid%3Dseo-maps-TN-B4I1%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26utm_content%3DDu-Lac-Tunis%26y_source%3D1_MTUzNjI2OTItNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Movenpick Hotel Du Lac Tunis (proprietaire),https://www.google.com/maps/contrib/113821044974857555699,https://lh5.googleusercontent.com/p/AF1QipOb7Sa9X6kYk0EAPxH_NzRep8Kcnm_nEZ-jYNIa=w408-h272-k-no,Hotel,Hotel,4.6,,,36 421 000,"Movenpick Hotel Du Lac Tunis, Rue du Lac Huron, Tunis 1053","naim, youssra, reception, remerciement, jeune, interaction, succulents, salam, dhikr, iqama",https://www.google.com/maps/place/M%C3%B6venpick+Hotel+Du+Lac+Tunis/data=!4m10!3m9!1s0x12fd3543273b5a57:0x52b17bbbc7671af4!5m2!4m1!1i2!8m2!3d36.835514!4d10.24847!16s%2Fg%2F11csknkv5g!19sChIJV1o7J0M1_RIR9Bpnx7t7sVI?authuser=0&hl=fr&rclk=1
ChIJzV0eQs-14hIRr_w6avHo0wE,Four Seasons Hotels and Resorts,"Logements elegants dans hotel haut de gamme en bord de golfe avec spa, piscine semi-couverte et 3 restaurants.",False,1249,https://www.fourseasons.com/tunis/%3Futm_source%3Dgoogle%26utm_medium%3Dorganicsearch%26utm_campaign%3Dtor-tsh-hre-mid-seo-na%26utm_content%3Dna-na%26utm_term%3Dna,Four Seasons Hotels and Resorts (proprietaire),https://www.google.com/maps/contrib/109209668988140684852,https://lh5.googleusercontent.com/p/AF1QipP1C-qrXgAlGVq0NbzureelQDK0i5D7HQBskKHO=w408-h248-k-no,Hotel,"Hotel, Residence hoteliere, Complexe hotelier, Spa, Lieu de mariage",4.5,,,31 260 000,"Four Seasons Hotels and Resorts, 1057 La Marsa, Gammarth 1057","spa, plage, diner, 5 etoiles, architecture, cadre, professionnalisme, salle de sport, sublime, haut de gamme",https://www.google.com/maps/place/Four+Seasons+Hotels+and+Resorts/data=!4m10!3m9!1s0x12e2b5cf421e5dcd:0x1d3e8f16a3afcaf!5m2!4m1!1i2!8m2!3d36.9203157!4d10.2941119!16s%2Fg%2F11c5h2cmrd!19sChIJzV0eQs-14hIRr_w6avHo0wE?authuser=0&hl=fr&rclk=1
ChIJh4NJFmUz_RIRdADTVf9v14Q,Sheraton Tunis Hotel,"Hotel haut de gamme avec 3 restaurants, spa, bars, bassin interieur et piscine exterieure.",False,1185,https://www.marriott.com/en-us/hotels/tunsi-sheraton-tunis-hotel/overview/%3Fscid%3Df2ae0541-1279-4f24-b197-a979c79310b0,Sheraton Tunis Hotel (proprietaire),https://www.google.com/maps/contrib/105425435202763160348,https://lh5.googleusercontent.com/p/AF1QipNwO0in3-LSITsF4tyb900xnoCHhyqsHjmoblZH=w408-h272-k-no,Hotel,"Hotel, Service d'organisation d'evenements professionnels, Lieu de mariage",4.2,,,71 100 300,"B.P. 345, Sheraton Tunis Hotel, Av. de la Ligue des Etats Arabes, Tunis 1080","service, piscine, etoiles, aeroport, business, spa, bar, luxe, salle de sport, hammam",https://www.google.com/maps/place/Sheraton+Tunis+Hotel/data=!4m10!3m9!1s0x12fd336516498387:0x84d76fff55d30074!5m2!4m1!1i2!8m2!3d36.8311401!4d10.1606623!16s%2Fg%2F1tfws1hy!19sChIJh4NJFmUz_RIRdADTVf9v14Q?authuser=0&hl=fr&rclk=1
ChIJ5VakNxU1_RIRc02vxnDMBjY,Barcelo Concorde Les Berges du Lac,"Grand hotel au bord d'un lac avec chambres et suites elegantes, restaurants raffines et spa haut de gamme.",False,1020,https://www.barcelo.com/en-ww/barcelo-concorde-berges-du-lac/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmy_business%26utm_content%3D31485,Barcelo Concorde Les Berges du Lac (proprietaire),https://www.google.com/maps/contrib/114270054252961702493,https://lh5.googleusercontent.com/p/AF1QipNY47zcbxJuaejeGlf1ZtjMztrJEynrgC-ujMm3=w408-h272-k-no,Hotel,Hotel,4,,,71 961 951,"Barcelo Concorde Les Berges du Lac, Rue du Lac Turkana, Tunis 1053","vue, aeroport, etoiles, spa, terrasse, qualite, alcool, business, luxe, gmail",https://www.google.com/maps/place/Barcel%C3%B3+Concorde+Les+Berges+du+Lac/data=!4m10!3m9!1s0x12fd351537a456e5:0x3606cc70c6af4d73!5m2!4m1!1i2!8m2!3d36.8320773!4d10.2367581!16s%2Fg%2F1wt6gd48!19sChIJ5VakNxU1_RIRc02vxnDMBjY?authuser=0&hl=fr&rclk=1
ChIJC9P1nGQ0_RIRf5DM7rIaXUQ,Hotel ibis Tunis,"Hotel de style decontracte avec chambres sobres, Wi-Fi gratuit, restaurant simple et bar.",False,926,https://all.accor.com/lien_externe.svlt%3Fgoto%3Dfiche_hotel%26code_hotel%3D6144%26merchantid%3Dseo-maps-TN-6144%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26y_source%3D1_MTUzNjExMTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Hotel ibis Tunis (proprietaire),https://www.google.com/maps/contrib/105041267567602329639,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHA0bamRwJ9EQLSNv9IdZOjxBwJNF7pebWtGx4gF7iqdNKsJbqbkWKEiUWH_t-7_sQBliksY1Nc9pSt4UrcpCKKtBsM-y6xPWunc3a3UtV9n53fGZUSEHAlFNIzI_Xnvvvqi-JWNf8rRgTjfoZU0oolvMSLIYEm3TuhxO0hdwwPl0dU8g8Nloysow=w408-h306-k-no,Hotel,Hotel,4,,,71 830 300,"Hotel ibis Tunis, Rue de Syrie, Tunis 1002","service, chambre, buffet, aeroport, diner, novotel, capitale, souriant, deplacement professionnel, meme",https://www.google.com/maps/place/H%C3%B4tel+ibis+Tunis/data=!4m10!3m9!1s0x12fd34649cf5d30b:0x445d1ab2eecc907f!5m2!4m1!1i2!8m2!3d36.8116062!4d10.1839263!16s%2Fg%2F1tf919bt!19sChIJC9P1nGQ0_RIRf5DM7rIaXUQ?authuser=0&hl=fr&rclk=1
ChIJra4_4GU0_RIR9hL-N6ay5rY,Laico Tunis Spa & Conference Center,"Hotel haut de gamme avec piscines en interieur et en exterieur, restaurants, salon a chicha et spa.",False,540,http://www.laicotunis.com/fr,Laico Tunis Spa & Conference Center (proprietaire),https://www.google.com/maps/contrib/110159982812168240309,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGcGu7MpMIPNX9pOVU4JlfEt2v1qkfPEY_PuUSbwAhghSIELMZixnbhrfcKCRqCqwSK9Xv44ibGK9s0B4oQ4a891UALW0XxzZhVlu94S6bdkoRMRE-mmw7de49xHjWNeFd-YnFakN3HSgB04Vh1l-KQLuA3Um5rLE_XFdcigli_5bqlzCkyGmhg=w408-h254-k-no,Hotel,Hotel,4.3,,,70 244 420,"0,44, Laico Tunis Spa & Conference Center, Place des Droits de L'Homme, km) 1001 Av. Mohamed 5, Tunis 1001","nettoyage, piscine, etoiles, room service, professionnelle, luxueux, salle de reunion, capitale, organisation, renovation",https://www.google.com/maps/place/Laico+Tunis+Spa+%26+Conference+Center/data=!4m10!3m9!1s0x12fd3465e03faead:0xb6e6b2a637fe12f6!5m2!4m1!1i2!8m2!3d36.8077208!4d10.1870448!16s%2Fg%2F11f4wv6_f2!19sChIJra4_4GU0_RIR9hL-N6ay5rY?authuser=0&hl=fr&rclk=1
ChIJu8Grxm00_RIRnFMu-7R9BrE,Laico Hotel Tunis,"Hebergements raffines dans hotel chic avec 2 restaurants, spa et piscines interieure et exterieure.",False,484,http://www.laicohotels.com/,Laico Hotel Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP1cPLszVqrOXz15qgTrExtXCg23U09c6-7ZU6v=w426-h240-k-no,Hotel,"Hotel, Hebergement",4.3,,,71 350 355,"R54P+XP4 Laico Hotel Tunis, Rue Chabane El Bhouri, Tunis 1080","service, espace, musique, experience, piscine, chambres, experimenter, prix, conferences, centre ville",https://www.google.com/maps/place/Laico+H%C3%B4tel+Tunis/data=!4m10!3m9!1s0x12fd346dc6abc1bb:0xb1067db4fb2e539c!5m2!4m1!1i2!8m2!3d36.8073893!4d10.1868291!16s%2Fg%2F11xnt686m!19sChIJu8Grxm00_RIRnFMu-7R9BrE?authuser=0&hl=fr&rclk=1
ChIJ4fSktYk0_RIRzQNbW0R_oN0,Business Hotel,"Hotel elegant avec bar, restaurant sur le toit, salon et espace de reunion.",False,392,https://www.businesshoteltunis.com/,Business Hotel (proprietaire),https://www.google.com/maps/contrib/100324514390236959719,https://lh5.googleusercontent.com/p/AF1QipMxa9AW9LjH-pjBj7xAatybuk6wQ4W3mUkTL869=w408-h255-k-no,Hotel,Hotel,4,,,71 900 555,"Business Hotel, 4 Rue Ibn Nadim, Tunis 1073","chambre, service, la musique, confortable, bruit, voyage, aeroport, etage, qualite, soir",https://www.google.com/maps/place/Business+H%C3%B4tel/data=!4m10!3m9!1s0x12fd3489b5a4f4e1:0xdda07f445b5b03cd!5m2!4m1!1i2!8m2!3d36.818325!4d10.184596!16s%2Fg%2F11bwn563xh!19sChIJ4fSktYk0_RIRzQNbW0R_oN0?authuser=0&hl=fr&rclk=1
ChIJA-Bme3Q0_RIRdmMuuMgNax0,Hotel Royal Victoria,"Hotel style mauresque, ancienne ambassade du XVIIe siecle, chambres chics, resto avec terrasse/vue sur ville.",False,375,https://hotel-royalvictoria.com/,Hotel Royal Victoria (proprietaire),https://www.google.com/maps/contrib/106532387569314109289,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF90FkikFXhVOCD33YF6WfHJ3asjtVRpXH5qJCpT9oieaXhUKJzcEmaHEhe0Luwl-VA1sL_5ssRUomhBXbp3pHpkIPFMs15nzLSPKXSylthJKUCef9p2y6WBHNmXaDG0bkNaOdmAHmtn-P9uUJPJxMVnd9N0-qPtJrHO3GbuFWq9-66ggrTjQ=w408-h408-k-no,Hotel,Hotel,4.3,,,71 320 066,"Hotel Royal Victoria, 5 place de la Victoire, Port de France, Tunis 1001","chambre, service, porte, ambassade, architecture, je, decoration, etoiles, histoire, balcon",https://www.google.com/maps/place/H%C3%B4tel+Royal+Victoria/data=!4m10!3m9!1s0x12fd34747b66e003:0x1d6b0dc8b82e6376!5m2!4m1!1i2!8m2!3d36.79942!4d10.1753245!16s%2Fg%2F11cr_vbdrp!19sChIJA-Bme3Q0_RIRdmMuuMgNax0?authuser=0&hl=fr&rclk=1
ChIJDfqyxYk0_RIRlsBwKRwYx7Y,Hotel Marigold,Logements a la decoration chaleureuse dans hotel convivial avec restaurant. Petit-dejeuner et Wi-Fi gratuits.,False,272,https://marigold-hotel.com/,Hotel Marigold (proprietaire),https://www.google.com/maps/contrib/107437843103431973340,https://lh5.googleusercontent.com/p/AF1QipOJ8frkHVYg6Wj-pRO7eTKYjsyx7bf4J20Skblo=w408-h272-k-no,Hotel,Hotel,4.2,,,71 904 011,"Hotel Marigold, Angle Rue Ibn Nadim, &Chabia 1073","chambre, service, prix, aeroport, site, hygiene, buffet, nettoyage, internet, odeur",https://www.google.com/maps/place/H%C3%B4tel+Marigold/data=!4m10!3m9!1s0x12fd3489c5b2fa0d:0xb6c7181c2970c096!5m2!4m1!1i2!8m2!3d36.8177289!4d10.1850597!16s%2Fg%2F11g0tkrv46!19sChIJDfqyxYk0_RIRlsBwKRwYx7Y?authuser=0&hl=fr&rclk=1
