place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJV1o7J0M1_RIR9Bpnx7t7sVI,Movenpick Hotel Du Lac Tunis,"Hotel haut de gamme offrant chambres modernes, certaines avec vue sur le lac, restaurants, spa et piscine.",False,2290,https://movenpick.accor.com/en/africa/tunisia/tunis/hotel-du-lac-tunis.html%3Fmerchantid%3Dseo-maps-TN-B4I1%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26utm_content%3DDu-Lac-Tunis%26y_source%3D1_MTUzNjI2OTItNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Movenpick Hotel Du Lac Tunis (proprietaire),https://www.google.com/maps/contrib/113821044974857555699,https://lh5.googleusercontent.com/p/AF1QipOb7Sa9X6kYk0EAPxH_NzRep8Kcnm_nEZ-jYNIa=w408-h272-k-no,Hotel,Hotel,4.6,,,36 421 000,"Movenpick Hotel Du Lac Tunis, Rue du Lac Huron, Tunis 1053","naim, youssra, reception, remerciement, jeune, interaction, succulents, salam, dhikr, iqama",https://www.google.com/maps/place/M%C3%B6venpick+Hotel+Du+Lac+Tunis/data=!4m10!3m9!1s0x12fd3543273b5a57:0x52b17bbbc7671af4!5m2!4m1!1i2!8m2!3d36.835514!4d10.24847!16s%2Fg%2F11csknkv5g!19sChIJV1o7J0M1_RIR9Bpnx7t7sVI?authuser=0&hl=fr&rclk=1
ChIJ6SND70604hIRzsi7WSOXWIY,GOLDEN CARTHAGE TUNIS,"Hotel haut de gamme avec 3 restaurants, 3 piscines exterieures et spa. Petit-dejeuner/parking/Wi-Fi gratuits.",False,1184,http://www.goldencarthage.com/,GOLDEN CARTHAGE TUNIS (proprietaire),https://www.google.com/maps/contrib/101405992254211187110,https://lh5.googleusercontent.com/p/AF1QipPWY2ESUtNoNDpI9o899iaf1LK4OEyuFNdWKcwg=w470-h240-k-no,Hotel,Hotel,4,,,71 913 000,"GOLDEN CARTHAGE TUNIS, Avenue de la Promenade les cotes de CARTHAGE, Marsa 2078","spa, appartement, mer, renovation, hamam, luxe, buffet, region, italien, aeroport",https://www.google.com/maps/place/GOLDEN+CARTHAGE+TUNIS/data=!4m10!3m9!1s0x12e2b44eef4323e9:0x8658972359bbc8ce!5m2!4m1!1i2!8m2!3d36.9053783!4d10.3124536!16s%2Fg%2F1tdssp4h!19sChIJ6SND70604hIRzsi7WSOXWIY?authuser=0&hl=fr&rclk=1
ChIJhep3qyA1-xIRjXLqDwj4lDI,LA CIGALE TABARKA HOTEL - THALASSO & SPA - GOLF,"Complexe balneaire haut de gamme avec plusieurs restaurants, bar jazz, parcours de golf et spa.",False,1033,http://www.lacigaletabarka.com/,LA CIGALE TABARKA HOTEL - THALASSO & SPA - GOLF (proprietaire),https://www.google.com/maps/contrib/110803477932440512910,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFXbfatCOtbyPweHCLnT13aKtO9BPbz6Zjx9fq8iicBlYlSokPh8HUjc9TTWYaW2r7J6qMJqqL1OL1WMdoyeQ5vgL6iMUds9G59yNv6HuwJGtZVvac19jypgBIXyv9byHpJpWUgIc9Pr7Yk8iTb8jZF-6RYFL78nfkf1BDGSoqmP1e6pe8_zRfr=w427-h240-k-no,Complexe hotelier,Complexe hotelier,4.5,,,70 019 000,"LA CIGALE TABARKA HOTEL - THALASSO & SPA - GOLF, Zone touristique El Morgene, 1 Tabarka Touristic Road, Tabarka 8110","luxe, 5 etoiles, vue, burkini, cadre, musulman, qualite, maures, chauffage, buffet",https://www.google.com/maps/place/LA+CIGALE+TABARKA+H%C3%94TEL+-+THALASSO+%26+SPA+-+GOLF/data=!4m10!3m9!1s0x12fb3520ab77ea85:0x3294f8080fea728d!5m2!4m1!1i2!8m2!3d36.9550582!4d8.7926405!16s%2Fg%2F11b6b4q3yl!19sChIJhep3qyA1-xIRjXLqDwj4lDI?authuser=0&hl=fr&rclk=1
ChIJg8sWCrRK_RIRi8ciewWRvyM,Le Corail Suites Hotel,"Hotel de style decontracte avec hebergements sobres, 2 restaurants lumineux et cafe au mobilier chaleureux.",False,829,https://www.corail-suites.com/,Le Corail Suites Hotel (proprietaire),https://www.google.com/maps/contrib/106527367624462608804,https://lh5.googleusercontent.com/p/AF1QipMerv4s7-PSxZm4AGJZ_vFtbOcJ4tqlubvdMjd1=w408-h272-k-no,Hotel,Hotel,4.4,,,71 268 000,"Le Corail Suites Hotel, Rue de la Feuille D'Erable, Cite Les Pins, Les Berges du Lac 2, Tunis 1053","immortalite, travailleurs, reception, ahlam, interaction, iqama, exorciste, contact humain, belamcanda, verbe",https://www.google.com/maps/place/Le+Corail+Suites+Hotel/data=!4m10!3m9!1s0x12fd4ab40a16cb83:0x23bf91057b22c78b!5m2!4m1!1i2!8m2!3d36.847774!4d10.276207!16s%2Fg%2F12hkyn7c8!19sChIJg8sWCrRK_RIRi8ciewWRvyM?authuser=0&hl=fr&rclk=1
ChIJJX0j8Mm04hIRsi-Anu4v1is,Villa Didon Hotel & Spa,"Chambres et suites elegantes (certaines avec vue sur le golfe), restaurant de luxe, 2 bars branches et spa.",False,686,http://www.villadidoncarthage.com/,Villa Didon Hotel & Spa (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHAPPtRT6QSwccZI0z431vHf-T0On0EaMKff3eRJS24hJOTdKNSX__wu2WGij4RzVG6ibD0GdgRM2VyxsuNaAnVcmKhHDntf7gyhRUaly-GzIWm1TP2P2fF_VpT3EGTFJr8llnyJ6ts-5G6Hj6pITLhueLW3nfiXo1b9gqjKv9vRXSE_CW4x9nSAA=w408-h305-k-no,Hotel,Hotel,4.1,,,31 323 000,"V82G+X35 Villa Didon Hotel & Spa, Byrsa, Rue Mendes France, 2016","vue, diner, mer, cocktails, terrasse, cuisine, service, serveur, entree, pates",https://www.google.com/maps/place/Villa+Didon+H%C3%B4tel+%26+Spa/data=!4m10!3m9!1s0x12e2b4c9f0237d25:0x2bd62fee9e802fb2!5m2!4m1!1i2!8m2!3d36.8523875!4d10.3252337!16s%2Fg%2F1tf895st!19sChIJJX0j8Mm04hIRsi-Anu4v1is?authuser=0&hl=fr&rclk=1
ChIJWSvpPZ604hIRMokhBwNlc5Y,La Villa Bleue,"Hebergements chics dans hotel haut de gamme avec vue sur le golfe, piscine exterieure et restaurant raffine.",False,619,http://www.lavillableuesidibousaid.com/,La Villa Bleue (proprietaire),https://www.google.com/maps/contrib/117043383151301524028,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHnth-R51bEjotK1doyee0XiUMhLx-nLfiabzXtSGp2NquMXklemFhc3z34jQ28yhyFqe1eoUuYl_T9_Yk_OjVCPgYKvCKvxytzchJT41fAak2MZ2KrCLfe6Q22CmFgRS2s_E0Fq_jtYA2FBikP-61aRP3tC9305gjXxeg_MnPth6a8yior9xo=w408-h306-k-no,Hotel,Hotel,4.4,,,71 742 000,"La Villa Bleue, 68 rue Kennedy, Sidi Bou Said 2026","vue, cadre, experience, touristique, est, repas, spa, serveurs, arnaque, magique",https://www.google.com/maps/place/La+Villa+Bleue/data=!4m10!3m9!1s0x12e2b49e3de92b59:0x9673650307218932!5m2!4m1!1i2!8m2!3d36.8700276!4d10.3523524!16s%2Fg%2F11b63crxs1!19sChIJWSvpPZ604hIRMokhBwNlc5Y?authuser=0&hl=fr&rclk=1
ChIJW9exUMRL_RIRcqkgdXI6GdI,Novotel Tunis Lac,"Chambres modernes et chaleureuses dans hotel haut de gamme avec piscine exterieure, 3 restaurants et bar.",False,404,https://all.accor.com/lien_externe.svlt%3Fgoto%3Dfiche_hotel%26code_hotel%3DA9E9%26merchantid%3Dseo-maps-TN-A9E9%26sourceid%3Daw-cen%26utm_medium%3Dseo%2Bmaps%26utm_source%3Dgoogle%2BMaps%26utm_campaign%3Dseo%2Bmaps%26y_source%3D1_MjU3NzIzMTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Novotel Tunis Lac (proprietaire),https://www.google.com/maps/contrib/101489940652754655207,https://lh5.googleusercontent.com/p/AF1QipPCrWRC0PDPNA1War29G3gW8vK6XlXMwRl2Ryi4=w408-h272-k-no,Hotel,Hotel,4.7,,,31 329 329,"Novotel Tunis Lac, Cite les pins, Rue de la Feuille d'Erable, Tunis 1053","chambre, service, experience, confort, diner, aeroport, salle de sport, bemol, menu, sourire",https://www.google.com/maps/place/Novotel+Tunis+Lac/data=!4m10!3m9!1s0x12fd4bc450b1d75b:0xd2193a727520a972!5m2!4m1!1i2!8m2!3d36.8448114!4d10.281568!16s%2Fg%2F11rssmxjcb!19sChIJW9exUMRL_RIRcqkgdXI6GdI?authuser=0&hl=fr&rclk=1
ChIJP3ou5jJL_RIRbMU28JUmMAg,ADAM Hotel Suites,"Hebergements chics dans un hotel sophistique comprenant 2 restaurants, un spa et un bar avec terrasse.",False,146,https://adamhotelsuites.com/,ADAM Hotel Suites (proprietaire),https://www.google.com/maps/contrib/114725555502320919713,https://lh5.googleusercontent.com/p/AF1QipOEPq35a8qb8wNxUwInz4jgkx5nb_HxuFz2U8c5=w426-h240-k-no,Hotel,Hotel,4.2,,,36 049 000,"R7VJ+CX ADAM Hotel Suites, Cite les pins, Tunis 1053","service, piscine, massage, est, experience, prix, lac, meublee, etoiles, confortable",https://www.google.com/maps/place/ADAM+Hotel+Suites/data=!4m10!3m9!1s0x12fd4b32e62e7a3f:0x8302695f036c56c!5m2!4m1!1i2!8m2!3d36.8435793!4d10.2826!16s%2Fg%2F11jr69v4pr!19sChIJP3ou5jJL_RIRbMU28JUmMAg?authuser=0&hl=fr&rclk=1
ChIJV-NyG3iz4hIRfpFqG2xHNrI,Maison Dedine - Small Luxury Hotels of the World,,False,113,http://www.maisondedine.com/,Maison Dedine - Small Luxury Hotels of the World (proprietaire),https://www.google.com/maps/contrib/106694610510084575301,https://lh5.googleusercontent.com/p/AF1QipP7O0AtgtDtGtlm85nB6G5ZsrQsKr6TiRsJ42p9=w408-h277-k-no,Hotel,Hotel,4.8,,,23 645 000,"Maison Dedine - Small Luxury Hotels of the World, 3 Avenue John Kennedy, SIDI BOU SAID 2026","equipe, vue, experience, chambres, gentillesse, diner, havre, bienveillance, paix, proprete",https://www.google.com/maps/place/Maison+Dedine+-+Small+Luxury+Hotels+of+the+World/data=!4m10!3m9!1s0x12e2b3781b72e357:0xb236476c1b6a917e!5m2!4m1!1i2!8m2!3d36.8686032!4d10.3537912!16s%2Fg%2F11fnvbwcvs!19sChIJV-NyG3iz4hIRfpFqG2xHNrI?authuser=0&hl=fr&rclk=1
ChIJcYCWrsO04hIRBqQ1q6s-2l0,CARTHAGE HILL,"Maison d'hotes conviviale avec chambres et suites de style decontracte, bungalow rustique et jardin amenage.",False,111,http://carthagehill.com/,CARTHAGE HILL (proprietaire),https://www.google.com/maps/contrib/108423159383191079647,https://lh5.googleusercontent.com/p/AF1QipPBLeshQaCPqGuX430nLo5RuMmoARynLJTOsWU=w408-h245-k-no,Maison d'hotes,Maison d'hotes,4.5,,,52 535 453,"CARTHAGE HILL, 1 Av. El Esfizari, Marsa 2070","mariage, organiser, clients",https://www.google.com/maps/place/CARTHAGE+HILL/data=!4m10!3m9!1s0x12e2b4c3ae968071:0x5dda3eabab35a406!5m2!4m1!1i2!8m2!3d36.86604!4d10.319368!16s%2Fg%2F11gdkr5zcd!19sChIJcYCWrsO04hIRBqQ1q6s-2l0?authuser=0&hl=fr&rclk=1
