place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJTVvLeu4NAhMRBqKhfvxMVK0,Iberostar Selection Kuriat Palace,"Chambres et suites raffinees dans hotel de luxe sur plage avec 2 restaurants, 3 piscines exterieures et spa.",False,6878,https://www.iberostar.com/en/hotels/monastir/iberostar-kuriat-palace/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DIBSVOL_EMEA_SEOLOC_GMB_NA_EN_TUN_TUN_MON_KUR_PULL_NA_NA_NA_NA_NA,Iberostar Selection Kuriat Palace (proprietaire),https://www.google.com/maps/contrib/115224448558828116619,https://lh5.googleusercontent.com/p/AF1QipM9v8lvz5FCSzuSgvpYx0XSM1Vnm0HXqwVd7MWB=w408-h272-k-no,Hotel,Hotel,4.8,,,73 520 100,"Iberostar Selection Kuriat Palace, Hotel iberostar Selection Kuriat palace Zone touristique, Dkhila 5060","animation, mario, l'equipe, animateurs, neymar, spectacle, flechettes, petanque, dedicace, amine",https://www.google.com/maps/place/Iberostar+Selection+Kuriat+Palace/data=!4m10!3m9!1s0x13020dee7acb5b4d:0xad544cfc7ea1a206!5m2!4m1!1i2!8m2!3d35.7654271!4d10.7558064!16s%2Fg%2F1tvdxn_w!19sChIJTVvLeu4NAhMRBqKhfvxMVK0?authuser=0&hl=fr&rclk=1
ChIJdc-EXIR1AhMRfunMH3KWB8o,JAZ Tour KHALEF,"Complexe raffine avec chambres et suites claires, spa, piscines d'eau salee et vue sur mer.",False,6106,https://www.jazhotels.com/hoteldetail/48-tunisia-tunisia-jaz-tour-khalef,JAZ Tour KHALEF (proprietaire),https://www.google.com/maps/contrib/117198368217060196270,https://lh5.googleusercontent.com/p/AF1QipODLb067KC1dTP_zHwcU8dc_vgjDdNUXh6IZSem=w408-h272-k-no,Hotel,"Hotel, Spa",4.7,,,73 241 844,"JAZ Tour KHALEF, Bd du 14 Janvier, Sousse 4051","animation, thalasso, animateurs, l'equipe, jazz, remerciement, disco, mahdi, fatiha",https://www.google.com/maps/place/JAZ+Tour+KHALEF/data=!4m10!3m9!1s0x130275845c84cf75:0xca0796721fcce97e!5m2!4m1!1i2!8m2!3d35.8488573!4d10.6198143!16s%2Fg%2F1hhxpwzxg!19sChIJdc-EXIR1AhMRfunMH3KWB8o?authuser=0&hl=fr&rclk=1
ChIJQ9nY-6UMAhMRL8iKcKYLJZ0,One Resort Aqua Park & Spa,"Chambres sobres dans complexe balneaire tout compris avec 4 piscines, spa et plusieurs restaurants.",False,1618,https://oneaqua.tn/,One Resort Aqua Park & Spa (proprietaire),https://www.google.com/maps/contrib/108649289853985116648,https://lh5.googleusercontent.com/p/AF1QipOzw2jFZWQew12ezv6f8mK74g0bfI51QHZJ25I=w408-h263-k-no,Hotel,Hotel,4.1,,,73 521 750,"One Resort Aqua Park & Spa, Route Touristique, Monastir 5029","plage, parc aquatique, animation, toboggans, bungalows, divertissement, excursions, all inclusive, animateurs, pirate",https://www.google.com/maps/place/One+Resort+Aqua+Park+%26+Spa/data=!4m10!3m9!1s0x13020ca5fbd8d943:0x9d250ba6708ac82f!5m2!4m1!1i2!8m2!3d35.7716804!4d10.7147255!16s%2Fg%2F11c5zk594v!19sChIJQ9nY-6UMAhMRL8iKcKYLJZ0?authuser=0&hl=fr&rclk=1
ChIJvypHhYh1AhMRLl_Lk51M3hE,Occidental Sousse Marhaba,"Chambres et suites classiques dans hotel raffine avec 3 restaurants, 8 bars, discotheque et piscines.",False,1442,https://www.barcelo.com/fr-fr/occidental-sousse-marhaba/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmy_business%26utm_content%3D10319,Occidental Sousse Marhaba (proprietaire),https://www.google.com/maps/contrib/100629833311419019805,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHdX1pBD3ceWbznAVpCh5RGc2W-X_L7i5a267-8JNIo7EMADTggGioBSzdTdMNg43Gt2HizOaTNrhsYwnf090DGslZ1WI_7jRofc6oKClyB2auXo-31FiRpnRaBK-e2JAhwaqBD4AAJxSdqzSlZF_L0Dsdd7xaGCnXJwYBoH2GAa9tdLD0TfJinEQ=w408-h254-k-no,Hotel,"Hotel, Piscine",4,,,73 241 667,"Occidental Sousse Marhaba, 2011 Av. 14 Janvier, Sousse 4039","plage, all inclusive, animation, divertissement, serveurs, toboggan, buffet, animateurs, aquagym, flechettes",https://www.google.com/maps/place/Occidental+Sousse+Marhaba/data=!4m10!3m9!1s0x1302758885472abf:0x11de4c9d93cb5f2e!5m2!4m1!1i2!8m2!3d35.846735!4d10.6219208!16s%2Fg%2F1tf8b331!19sChIJvypHhYh1AhMRLl_Lk51M3hE?authuser=0&hl=fr&rclk=1
ChIJL8SXQoyXqhMR0vZzXr35n_k,Djerba Plaza Thalasso & Spa,"Complexe raffine avec chambres conviviales, 8 restaurants/bars, 3 piscines, spa et installations sportives.",False,1158,,Djerba Plaza Thalasso & Spa (proprietaire),https://www.google.com/maps/contrib/105476911567447563730,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHEbH1JkCPJe0huPZTxRZRhW6dhj3Pth8vdxg1y4kZxEqgClN5HsfjLyaJk1qhXXO6AjbGhsOnRUySD4oMC9hHSOeyWOoOkHwXwrGkYaxUmivrXYEC0g-yjTHTBt7ZEaZ89Mo0Rlhv7SZj88VVDGBsxUmV1cxwBm8c5p-ZvrBaeoe3Jk_k40QYH=w427-h240-k-no,Hotel,Hotel,4.2,,,75 731 230,"Djerba Plaza Thalasso & Spa, Zone Touristique, Djerba Midun","animation, serveurs, animateurs, all inclusive, algues, buffet, quad, spectacle, dromadaire, douche italienne",https://www.google.com/maps/place/Djerba+Plaza+Thalasso+%26+Spa/data=!4m10!3m9!1s0x13aa978c4297c42f:0xf99ff9bd5e73f6d2!5m2!4m1!1i2!8m2!3d33.831071!4d11.0079784!16s%2Fg%2F11b6383dw1!19sChIJL8SXQoyXqhMR0vZzXr35n_k?authuser=0&hl=fr&rclk=1
ChIJY7GKdq7vqhMR51V3xzFykhY,Zita Beach Resort,,False,1033,,Zita Beach Resort (proprietaire),https://www.google.com/maps/contrib/107125398001789073368,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG5sTbBab4zmeoU7YpOiz4AKjyQstDu2KS0FaXlyJU2cO6X9fiWd05xUxkKvb12iMU73QpwaGqR1b4XW0XnP0EBW5D0-5yYu4Cn-z_nhQaY1vFIZr7CKNcS3VTJ5B6ueI_FnNoRVsLpdDbgam09GVz0F3kfA_1BcihPM7ROpjai--KjfN9E8LOX=w408-h270-k-no,Hotel,Hotel,4,,,,"Zita Beach Resort, Zone Touristique Djerba, 4170","mer, animation, algues, all inclusive, serveurs, animateurs, quad, excursions, directeur, spectacle",https://www.google.com/maps/place/Zita+Beach+Resort/data=!4m10!3m9!1s0x13aaefae768ab163:0x16927231c77755e7!5m2!4m1!1i2!8m2!3d33.5413824!4d11.1106066!16s%2Fg%2F11h1qdjnk4!19sChIJY7GKdq7vqhMR51V3xzFykhY?authuser=0&hl=fr&rclk=1
ChIJOc-SIHV1AhMRNwF78p5qHjI,Sousse Palace Hotel & Spa,"Hotel haut de gamme avec chambres de style decontracte, plage privee, spa et 3 restaurants.",False,972,http://www.shdthotels.com/,Sousse Palace Hotel & Spa (proprietaire),https://www.google.com/maps/contrib/101617338767135943853,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFHdgLUsz_WXuNWB1CzibfAEjoWEj97wbM649SG28gLQOAzmdRzx_teAUGEgLxS2m_a4lwgyEoW42jtSoVfKjftw6hlGv5qnBRJJ19RtfBC5Nr0EeMIig2buhrpDOKvSsG1bb3M-nmG7_2NFNDpJy7x7hj3N1cZdSmszDEYnvUOIz_7ottVZjeB7A=w408-h272-k-no,Hotel,Hotel,4,,,31 323 260,"Sousse Palace Hotel & Spa, Av. Habib Bourguiba, Sousse","chambre, etoiles, mer, buffet, sourire, all inclusive, menage, serveur, animation, hammam",https://www.google.com/maps/place/Sousse+Palace+Hotel+%26+Spa/data=!4m10!3m9!1s0x130275752092cf39:0x321e6a9ef27b0137!5m2!4m1!1i2!8m2!3d35.8310325!4d10.6406611!16s%2Fg%2F1v6gbbss!19sChIJOc-SIHV1AhMRNwF78p5qHjI?authuser=0&hl=fr&rclk=1
ChIJGZRI3FYTAhMRO_hDqgfMKOY,Hotel Skanes,"Complexe tout compris convivial en bord de plage, chambres colorees, 5 piscines exterieures et 3 restaurants.",False,952,,Hotel Skanes (proprietaire),https://www.google.com/maps/contrib/104698977115559048173,https://lh5.googleusercontent.com/p/AF1QipPVuD-oa5GEp9df9zURlRpdVdig_sM_GcJt4PVu=w408-h272-k-no,Hotel,Hotel,4.4,,,29 919 643,"Hotel Skanes, Dekhila Skanes, 5000","piscine, plage, animation, loisirs, toboggan aquatique, adultes, tennis, boite de nuit, chambre familiale, all inclusive",https://www.google.com/maps/place/Hotel+Skanes/data=!4m10!3m9!1s0x13021356dc489419:0xe628cc07aa43f83b!5m2!4m1!1i2!8m2!3d35.7641601!4d10.746232!16s%2Fg%2F12hsz2kbp!19sChIJGZRI3FYTAhMRO_hDqgfMKOY?authuser=0&hl=fr&rclk=1
ChIJxz4swkbF_RIRe6JGpA06RiI,La Kasba,"Hotel de style decontracte, petit-dej. gratuit, restaurant, cafe, piscine exterieure et espace de reception.",False,509,https://www.goldenyasmin.com/,La Kasba (proprietaire),https://www.google.com/maps/contrib/101706252292300859830,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFrYTkJQFg26vsft0VskF9kLAngmAPMivN0UFelOM2yyA5rxI3EM1ggdHAH6_2EQgCqIe_wrNB4IgyxUhuLuEWPRBVB_tiQUBTwb3xYoyEfVeQisOTGhgaRdPmvehOUhc4UkSYRTTNqAUOLBz7eKhlGdX8hPrIkmP5PkJdI6JPndakQWfNcXOKPcQ=w408-h291-k-no,Hotel,"Hotel, Lieu historique",4.3,,,77 237 301,"La Kasba, 3140 Rue de La Kasbah, Kairouan","service, piscine, buffet, chambres, etoiles, architecture, mosquee, dejeuner, souper, cuisine",https://www.google.com/maps/place/La+Kasba/data=!4m10!3m9!1s0x12fdc546c22c3ec7:0x22463a0da446a27b!5m2!4m1!1i2!8m2!3d35.6799151!4d10.0992983!16s%2Fg%2F1tpmd7nl!19sChIJxz4swkbF_RIRe6JGpA06RiI?authuser=0&hl=fr&rclk=1
ChIJXR5jnMAMAhMRXgh1gr5FuJQ,Hilton Skanes Monastir Beach Resort,,False,426,https://www.hilton.com/en/hotels/mirsmhi-hilton-skanes-monastir-beach-resort/%3FSEO_id%3DGMB-EMEA-HI-MIRSMHI,Hilton Skanes Monastir Beach Resort (proprietaire),https://www.google.com/maps/contrib/103201951218050525977,https://lh5.googleusercontent.com/p/AF1QipM4mzjeHJERTlN5-XdgiBBNV3PpY6xA-VsCgbmL=w408-h254-k-no,Complexe hotelier,"Complexe hotelier, Institut de spa et bien-etre",4,,,31 377 737,"Hilton Skanes Monastir Beach Resort, Zone Touristique Dkhila, Monastir 5000","chambre, buffet, catastrophique, italien, animation, toboggans, remercier, superviseur, piscine couverte, employes",https://www.google.com/maps/place/Hilton+Skanes+Monastir+Beach+Resort/data=!4m10!3m9!1s0x13020cc09c631e5d:0x94b845be8275085e!5m2!4m1!1i2!8m2!3d35.7640676!4d10.7325502!16s%2Fg%2F11sb12pw0j!19sChIJXR5jnMAMAhMRXgh1gr5FuJQ?authuser=0&hl=fr&rclk=1
