place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJIWKy8pJj_RIRw6fpEAUpz-k,Hotel Mehari Hammamet,"Hotel convivial avec 4 restaurants, 7 bars, piscine exterieure, 2 cafes, spa et salle de sport.",False,1568,https://www.goldenyasmin.com/,Hotel Mehari Hammamet (proprietaire),https://www.google.com/maps/contrib/118415286266663159211,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGwEbITJY_sEl_FiSWJFcbHaNqL0wA6SUhkMrCw6r0l07taT524v6fiGOgQRyPthgUjRW5xIZKOo38NaeM-A6eXVB9vrsixVIxaWHya9JhXOlppqdcSXbspLFz6efbYMxhVs5WEGDsv7Pr6LEwYH3s-b46Qw6vVWv7Fk8JgDQE-EBKrKD6pS51MuQ=w426-h240-k-no,Hotel,Hotel,4.1,,,72 241 900,"Hotel Mehari Hammamet, Yasmine Hammamet, Hammamet 8050","etoiles, all inclusive, thalasso, femme de menage, animation, buffet, serveurs, plage privee, quad, animateurs",https://www.google.com/maps/place/Hotel+M%C3%A9hari+Hammamet/data=!4m10!3m9!1s0x12fd6392f2b26221:0xe9cf290510e9a7c3!5m2!4m1!1i2!8m2!3d36.3632716!4d10.5346542!16s%2Fg%2F1vnnflp5!19sChIJIWKy8pJj_RIRw6fpEAUpz-k?authuser=0&hl=fr&rclk=1
ChIJg9aOYcKYAhMRHDRTdOtSPBU,Hotel Khayam Garden Beach Resort and Spa,"Hotel chic, chambres conviviales (certaines avec vue sur mer), restaurants et piscines interieure/exterieures.",False,1206,http://khayamgarden.com/,Hotel Khayam Garden Beach Resort and Spa (proprietaire),https://www.google.com/maps/contrib/112123319170605984199,https://lh5.googleusercontent.com/p/AF1QipMz02Vm2n_6sznNqxHjc0XemXNIJeATW9ZQwIqb=w408-h272-k-no,Hotel,Hotel,4.2,,,72 223 133,"Hotel Khayam Garden Beach Resort and Spa, Mohammed V St., Nabeul 8000","animation, toboggans, serveurs, animateurs, rochers, burkini, directeur, souk, tir a l'arc",https://www.google.com/maps/place/H%C3%B4tel+Khayam+Garden+Beach+Resort+and+Spa/data=!4m10!3m9!1s0x130298c2618ed683:0x153c52eb7453341c!5m2!4m1!1i2!8m2!3d36.4404525!4d10.7316551!16s%2Fg%2F1hc15fn0d!19sChIJg9aOYcKYAhMRHDRTdOtSPBU?authuser=0&hl=fr&rclk=1
ChIJ5fB8leSeAhMRT1N8PSX-hng,Magic Life Manar,"Chambres claires dans complexe balneaire chic tout compris avec 6 restaurants, spa, piscines et toboggans.",False,1168,http://manar.magichotelsandresorts.com/,Magic Life Manar (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFhjARGPXY7t-CJeCurYHvTnkpD-BE-nLBWOsWVP7Q0uOWdiWMONV86R7-d_sIwcv0nofd5vgvmDaYGY2wrS2zKuv8Zdb_sSMiRkazOr-aNYFurZJoLIukzV6fZeXyk96npa0EdHX74Z0pR1JN1DZQfcNnItTyKpcv3ah0RTbpdRsmu8yXARbnW9Q=w408-h271-k-no,Hotel,Hotel,4.4,,,72 322 333,"Magic Life Manar, 8050 Route Touristique, Mrezga","plage, animation, divertissement, toboggans, jour ferie, all inclusive, maitre nageur, animateur, tir a l'arc",https://www.google.com/maps/place/Magic+Life+Manar/data=!4m10!3m9!1s0x13029ee4957cf0e5:0x7886fe253d7c534f!5m2!4m1!1i2!8m2!3d36.4251886!4d10.6774297!16s%2Fg%2F1jkvk34kf!19sChIJ5fB8leSeAhMRT1N8PSX-hng?authuser=0&hl=fr&rclk=1
ChIJNxVoeIRh_RIRUajKhRQcd1U,La Badira - Adult Only,"Chambres et suites raffinees dans hotel haut de gamme en bord de plage avec 5 restaurants, 3 piscines et spa.",False,1156,http://www.labadira.com/,La Badira - Adult Only (proprietaire),https://www.google.com/maps/contrib/101248602338396611971,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHx2AXqdHvtCwADffhdvrjAlsnPOhyPc4AE3zDa6XfET0iPHpiRdgCSaoPZ-ANZaOo-OUkJBfVF0xwRiBO3Lgd-eKLEVUrZwKB6GuLYKutPdXtPPcDWKGc1fClFoUD_1y-HQ-yX6akAmJEYInon-__acBe-0h1Nes90IuxChzV7r_hq-3UEqSc=w413-h240-k-no,Hotel,Hotel,4.5,,,70 018 180,"La Badira - Adult Only, Route Touristique Nord BP437 Hammamet, Mrezga 8050","spa, 5 etoiles, burkini, reve, serveurs, piscine a debordement, l'architecture, plage privee, tunisienne, hammam",https://www.google.com/maps/place/La+Badira+-+Adult+Only/data=!4m10!3m9!1s0x12fd618478681537:0x55771c1485caa851!5m2!4m1!1i2!8m2!3d36.4043159!4d10.649168!16s%2Fg%2F11cm_dx5m6!19sChIJNxVoeIRh_RIRUajKhRQcd1U?authuser=0&hl=fr&rclk=1
ChIJs94XSOGeAhMRAx5e9epjlqw,Calimera Delfino Beach Resort & Spa,"Complexe tout compris de style decontracte avec restaurants, spa, plage privee et piscines exterieures.",False,792,,Calimera Delfino Beach Resort & Spa (proprietaire),https://www.google.com/maps/contrib/114647759166267060929,https://lh5.googleusercontent.com/p/AF1QipM84vghDXKuY-sCPuvevf7CZcbzIRMIdErkSckf=w426-h240-k-no,Hotel,Hotel,4.5,,,72 285 400,"CMFM+WF8 Calimera Delfino Beach Resort & Spa, Mrezga","animation, plage, divertissement, jour ferie, all inclusive, femmes de menage, hammam, bungalow, tir a l'arc",https://www.google.com/maps/place/Calimera+Delfino+Beach+Resort+%26+Spa/data=!4m10!3m9!1s0x13029ee14817deb3:0xac9663eaf55e1e03!5m2!4m1!1i2!8m2!3d36.427042!4d10.682871!16s%2Fg%2F1tg_6q3r!19sChIJs94XSOGeAhMRAx5e9epjlqw?authuser=0&hl=fr&rclk=1
ChIJ_2EpxPaeAhMR2NvN-yIl3hk,Hotel Omar Khayam,"Hotel tout compris de style decontracte sur plage, restaurants, bars, spa et piscines int. et ext.",False,615,http://omarkhayam.club/,Hotel Omar Khayam (proprietaire),https://www.google.com/maps/contrib/102062873581242525694,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEfjgom3jyVA-lASrTYurNPHA2m3KAXOAZjnpNpHW_y5Gogx-5VspZey3ZMMu5PrLz8D5WKZlgP7Ye7NnjnKK-7DTVA58Y4ZfSuPdc7qogqHpuM-quUlaVddk-W3h5tDYxpDhb4sJBVU_wZ6HMfKVjEZkhCSmunn-im8MnlKloOwNmKNehRaYBr=w408-h271-k-no,Hotel,Hotel,4,,,72 322 630,"Hotel Omar Khayam, rue touristique hammamet nord, Hammamet 8050","animation, piscine, plage, chambres, enfants, loisirs, toboggans, parc aquatique, all inclusive, journee",https://www.google.com/maps/place/H%C3%B4tel+Omar+Khayam/data=!4m10!3m9!1s0x13029ef6c42961ff:0x19de2522fbcddbd8!5m2!4m1!1i2!8m2!3d36.418482!4d10.6687442!16s%2Fg%2F1tlv4368!19sChIJ_2EpxPaeAhMR2NvN-yIl3hk?authuser=0&hl=fr&rclk=1
ChIJtQHOPeSeAhMRpfpRf4r624U,Club Marmara Hammamet Beach 3*,,False,574,https://palmbeachclubhammamet.traveleto.com/,Club Marmara Hammamet Beach 3* (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHRV7dh3Gk7DcQN9hyRCj6d3mNo5CZiD3AsuX3jIVf-nhirq0QC3NBquCLlJ3f3d6-BV-90kmSkqU_2gR6iUxWTcwxyA8QRM0DPGUe9AfAcFWib8CD5dWyYbpQxsc8wge1bWEawSXbz_uTilCDJXrSoBI_KozoYwWyFGk52ZQtpoT0OFvFowaZePw=w408-h267-k-no,Hotel,Hotel,4,,,,"CMGJ+597 Club Marmara Hammamet Beach 3*, Mrezga 8050","animation, toboggans, serveurs, meme, territoire, buffet, all inclusive, accueillant, cadre, promovacances",https://www.google.com/maps/place/Club+Marmara+Hammamet+Beach+3*/data=!4m10!3m9!1s0x13029ee43dce01b5:0x85dbfa8a7f51faa5!5m2!4m1!1i2!8m2!3d36.4254187!4d10.680907!16s%2Fg%2F1tl1f2qb!19sChIJtQHOPeSeAhMRpfpRf4r624U?authuser=0&hl=fr&rclk=1
ChIJDzdiQPaeAhMR9wFI2crjeIc,Hotel Royal Nozha,"Hotel elegant avec spa, brasserie en bord de plage, piscine exterieure, club enfants et bowling.",False,408,http://www.hotelroyalnozha.com/,Hotel Royal Nozha (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGAunImXISJiMlGy__5nFp_-P66QUxPxvBc3ZVYSxhhC21h1VBVW0JvprRKrEkOtiXcSaSewgiF8udgwOLrVFcMcONo6BLlfw8b0i28a7PicixNSjvrr7DpX_wDSo7EFcal7PO_sO3imQWrWFH1oI1k2RCfSBYedfR1HwLXABq69AsXfLCsEqyS=w408-h270-k-no,Hotel,"Hotel, Hebergement",4.3,,,72 260 608,"CM98+F6X Hotel Royal Nozha, Route Touristique, Nord 8050","plage, equipe, divertissement, jour ferie, animation, all inclusive, femmes de menage, taille humaine, serveur, crepes",https://www.google.com/maps/place/H%C3%B4tel+Royal+Nozha/data=!4m10!3m9!1s0x13029ef64062370f:0x8778e3cad94801f7!5m2!4m1!1i2!8m2!3d36.4187325!4d10.665596!16s%2Fg%2F1tfthf7r!19sChIJDzdiQPaeAhMR9wFI2crjeIc?authuser=0&hl=fr&rclk=1
ChIJ74sekv5h_RIR9RKbd2LWmBk,Hotel Khella,"Chambres de style decontracte a decoration tunisienne dans hotel convivial, bar, petit-dejeuner gratuit.",False,182,http://www.hotelkhella.com/,Hotel Khella (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHxsqk69vAo6wwKJ44XaIO2DEK7Jz8ON9us13gPNP-X2lXauzsTdS_lO4ySVtfV9W31flerLYI8HaLsTpPG81fnvzYh81wlOOB1aIhbdVO1R8QXKgzZMhKlz2P4JBpWYIryYbHKKykN01zbqnBhhTw5G9gVYAeOhwiLPmNVb8-FX5QrO1TySWM=w408-h291-k-no,Hotel,Hotel,4.4,,,72 283 900,"9JX8+F98 Hotel Khella, Hammamet","prix, chambre, plage, service, nettoyage, bar, buffet, coeur, vecteur position, transport",https://www.google.com/maps/place/H%C3%B4tel+Khella/data=!4m10!3m9!1s0x12fd61fe921e8bef:0x1998d662779b12f5!5m2!4m1!1i2!8m2!3d36.3986515!4d10.6159398!16s%2Fg%2F11c4vk2ys4!19sChIJ74sekv5h_RIR9RKbd2LWmBk?authuser=0&hl=fr&rclk=1
ChIJ-dchwqWfAhMRrmcy8wrFP38,AMBER EL FELL,,False,82,http://amberelfell.com/,AMBER EL FELL (proprietaire),https://www.google.com/maps/contrib/101664159805484093808,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGTIGVM7-tnNqaNwv_MZ5DErotqJhFR5A_trYgE0-0zdFqJlpxmdNG5FOc2Nb3fJXLV5xUa26FrGUeswB93-267MRZ3lXZtpnULY8DIddn9mRmXJRLrgRJQlUBiwk9pZZOsRlA2uwkkeE8Z068Sf8nZChnGyf5CDs35h8LRJCq9KgSllzxWCMbd=w408-h270-k-no,Hotel,Hotel,4.3,,,72 322 956,"CM89+M3 AMBER EL FELL, Mrezga","service, mer, spa, experience, vacances, piscine, coffre fort, cuisine, buffet",https://www.google.com/maps/place/AMBER+EL+FELL/data=!4m10!3m9!1s0x13029fa5c221d7f9:0x7f3fc50af33267ae!5m2!4m1!1i2!8m2!3d36.4166382!4d10.6677057!16s%2Fg%2F11s90ndjj8!19sChIJ-dchwqWfAhMRrmcy8wrFP38?authuser=0&hl=fr&rclk=1
